"X","Author","Filename","NumLines"
56,"Michael McCandless","contrib/queryparser/src/test/org/apache/lucene/queryParser/standard/TestMultiAnalyzerWrapper.java",2
57,"Michael Busch","contrib/queryparser/src/test/org/apache/lucene/queryParser/standard/TestMultiAnalyzerWrapper.java",318
58,"Michael McCandless","contrib/queryparser/src/test/org/apache/lucene/queryParser/standard/TestQPHelper.java",107
59,"Michael Busch","contrib/queryparser/src/test/org/apache/lucene/queryParser/standard/TestQPHelper.java",1127
60,"Michael McCandless","contrib/queryparser/src/test/org/apache/lucene/queryParser/standard/TestQueryParserWrapper.java",17
61,"Michael Busch","contrib/queryparser/src/test/org/apache/lucene/queryParser/standard/TestQueryParserWrapper.java",1141
62,"Michael McCandless","contrib/queryparser/src/test/org/apache/lucene/queryParser/standard/TestMultiFieldQPHelper.java",9
63,"Michael Busch","contrib/queryparser/src/test/org/apache/lucene/queryParser/standard/TestMultiFieldQPHelper.java",359
64,"Michael Busch","contrib/queryparser/src/java/org/apache/lucene/queryParser/core/nodes/OrQueryNode.java",78
65,"Michael Busch","contrib/queryparser/src/java/org/apache/lucene/queryParser/core/nodes/OpaqueQueryNode.java",80
66,"Michael Busch","contrib/queryparser/src/java/org/apache/lucene/queryParser/core/nodes/QueryNodeImpl.java",224
67,"Chris M. Hostetter","contrib/queryparser/src/java/org/apache/lucene/queryParser/core/nodes/QueryNodeImpl.java",1
68,"Michael Busch","contrib/queryparser/src/java/org/apache/lucene/queryParser/core/nodes/PhraseSlopQueryNode.java",108
69,"Mark Robert Miller","contrib/queryparser/src/java/org/apache/lucene/queryParser/core/nodes/PhraseSlopQueryNode.java",1
70,"Michael Busch","contrib/queryparser/src/java/org/apache/lucene/queryParser/core/nodes/BooleanQueryNode.java",83
71,"Michael Busch","contrib/queryparser/src/java/org/apache/lucene/queryParser/core/nodes/BoostQueryNode.java",121
72,"Mark Robert Miller","contrib/queryparser/src/java/org/apache/lucene/queryParser/core/nodes/BoostQueryNode.java",1
73,"Michael Busch","contrib/queryparser/src/java/org/apache/lucene/queryParser/core/nodes/AndQueryNode.java",77
74,"Michael Busch","contrib/queryparser/src/java/org/apache/lucene/queryParser/core/nodes/NoTokenFoundQueryNode.java",49
75,"Michael Busch","contrib/queryparser/src/java/org/apache/lucene/queryParser/core/nodes/SlopQueryNode.java",115
76,"Mark Robert Miller","contrib/queryparser/src/java/org/apache/lucene/queryParser/core/nodes/SlopQueryNode.java",1
77,"Michael Busch","contrib/queryparser/src/java/org/apache/lucene/queryParser/core/nodes/TextableQueryNode.java",26
78,"Chris M. Hostetter","contrib/queryparser/src/java/org/apache/lucene/queryParser/core/nodes/TextableQueryNode.java",3
79,"Michael Busch","contrib/queryparser/src/java/org/apache/lucene/queryParser/core/nodes/GroupQueryNode.java",82
80,"Mark Robert Miller","contrib/queryparser/src/java/org/apache/lucene/queryParser/core/nodes/GroupQueryNode.java",1
81,"Michael Busch","contrib/queryparser/src/java/org/apache/lucene/queryParser/core/nodes/MatchAllDocsQueryNode.java",49
82,"Michael Busch","contrib/queryparser/src/java/org/apache/lucene/queryParser/core/nodes/QueryNode.java",95
83,"Michael Busch","contrib/queryparser/src/java/org/apache/lucene/queryParser/core/nodes/ModifierQueryNode.java",150
84,"Chris M. Hostetter","contrib/queryparser/src/java/org/apache/lucene/queryParser/core/nodes/ModifierQueryNode.java",6
85,"Mark Robert Miller","contrib/queryparser/src/java/org/apache/lucene/queryParser/core/nodes/ModifierQueryNode.java",1
86,"Michael Busch","contrib/queryparser/src/java/org/apache/lucene/queryParser/core/nodes/DeletedQueryNode.java",51
87,"Michael Busch","contrib/queryparser/src/java/org/apache/lucene/queryParser/core/nodes/ParametricQueryNode.java",100
88,"Michael Busch","contrib/queryparser/src/java/org/apache/lucene/queryParser/core/nodes/ParametricRangeQueryNode.java",120
89,"Michael Busch","contrib/queryparser/src/java/org/apache/lucene/queryParser/core/nodes/FieldableNode.java",45
90,"Michael Busch","contrib/queryparser/src/java/org/apache/lucene/queryParser/core/nodes/ProximityQueryNode.java",248
91,"Michael McCandless","contrib/queryparser/src/java/org/apache/lucene/queryParser/core/nodes/ProximityQueryNode.java",1
92,"Mark Robert Miller","contrib/queryparser/src/java/org/apache/lucene/queryParser/core/nodes/ProximityQueryNode.java",2
93,"Michael Busch","contrib/queryparser/src/java/org/apache/lucene/queryParser/core/nodes/FieldQueryNode.java",184
94,"Michael Busch","contrib/queryparser/src/java/org/apache/lucene/queryParser/core/nodes/MatchNoDocsQueryNode.java",37
95,"Michael Busch","contrib/queryparser/src/java/org/apache/lucene/queryParser/core/nodes/TokenizedPhraseQueryNode.java",103
96,"Chris M. Hostetter","contrib/queryparser/src/java/org/apache/lucene/queryParser/core/nodes/TokenizedPhraseQueryNode.java",1
97,"Michael Busch","contrib/queryparser/src/java/org/apache/lucene/queryParser/core/nodes/FuzzyQueryNode.java",98
98,"Michael Busch","contrib/queryparser/src/java/org/apache/lucene/queryParser/core/nodes/PathQueryNode.java",205
99,"Chris M. Hostetter","contrib/queryparser/src/java/org/apache/lucene/queryParser/core/nodes/PathQueryNode.java",11
100,"Michael Busch","contrib/queryparser/src/java/org/apache/lucene/queryParser/core/nodes/QuotedFieldQueryNode.java",64
101,"Michael Busch","contrib/queryparser/src/java/org/apache/lucene/queryParser/core/nodes/AnyQueryNode.java",143
102,"Michael Busch","contrib/queryparser/src/java/org/apache/lucene/queryParser/core/QueryNodeException.java",87
103,"Michael Busch","contrib/queryparser/src/java/org/apache/lucene/queryParser/core/messages/QueryParserMessages.java",54
104,"Michael Busch","contrib/queryparser/src/java/org/apache/lucene/queryParser/core/parser/EscapeQuerySyntax.java",41
105,"Michael Busch","contrib/queryparser/src/java/org/apache/lucene/queryParser/core/parser/SyntaxParser.java",36
106,"Michael Busch","contrib/queryparser/src/java/org/apache/lucene/queryParser/core/QueryNodeParseException.java",120
107,"Mark Robert Miller","contrib/queryparser/src/java/org/apache/lucene/queryParser/core/QueryNodeParseException.java",1
108,"Michael Busch","contrib/queryparser/src/java/org/apache/lucene/queryParser/core/builders/QueryTreeBuilder.java",219
109,"Michael McCandless","contrib/queryparser/src/java/org/apache/lucene/queryParser/core/builders/QueryTreeBuilder.java",1
110,"Mark Robert Miller","contrib/queryparser/src/java/org/apache/lucene/queryParser/core/builders/QueryTreeBuilder.java",2
111,"Michael Busch","contrib/queryparser/src/java/org/apache/lucene/queryParser/core/builders/QueryBuilder.java",43
112,"Michael Busch","contrib/queryparser/src/java/org/apache/lucene/queryParser/core/QueryParserHelper.java",261
113,"Michael Busch","contrib/queryparser/src/java/org/apache/lucene/queryParser/core/config/FieldConfigListener.java",21
114,"Mark Robert Miller","contrib/queryparser/src/java/org/apache/lucene/queryParser/core/config/FieldConfigListener.java",17
115,"Michael Busch","contrib/queryparser/src/java/org/apache/lucene/queryParser/core/config/QueryConfigHandler.java",85
116,"Michael Busch","contrib/queryparser/src/java/org/apache/lucene/queryParser/core/config/FieldConfig.java",64
117,"Michael Busch","contrib/queryparser/src/java/org/apache/lucene/queryParser/core/processors/RemoveDeletedQueryNodesProcessor.java",109
118,"Michael Busch","contrib/queryparser/src/java/org/apache/lucene/queryParser/core/processors/QueryNodeProcessorImpl.java",253
119,"Michael Busch","contrib/queryparser/src/java/org/apache/lucene/queryParser/core/processors/QueryNodeProcessor.java",79
120,"Michael Busch","contrib/queryparser/src/java/org/apache/lucene/queryParser/core/processors/QueryNodeProcessorPipeline.java",128
121,"Michael Busch","contrib/queryparser/src/java/org/apache/lucene/queryParser/core/processors/NoChildOptimizationQueryNodeProcessor.java",90
122,"Michael Busch","contrib/queryparser/src/java/org/apache/lucene/queryParser/core/QueryNodeError.java",75
123,"Michael Busch","contrib/queryparser/src/java/org/apache/lucene/queryParser/core/util/QueryNodeOperation.java",94
124,"Michael Busch","contrib/queryparser/src/java/org/apache/lucene/queryParser/core/util/UnescapedCharSequence.java",156
125,"Michael McCandless","contrib/queryparser/src/java/org/apache/lucene/queryParser/standard/nodes/RangeQueryNode.java",3
126,"Michael Busch","contrib/queryparser/src/java/org/apache/lucene/queryParser/standard/nodes/RangeQueryNode.java",66
127,"Michael McCandless","contrib/queryparser/src/java/org/apache/lucene/queryParser/standard/nodes/BooleanModifierNode.java",2
128,"Michael Busch","contrib/queryparser/src/java/org/apache/lucene/queryParser/standard/nodes/BooleanModifierNode.java",37
129,"Michael McCandless","contrib/queryparser/src/java/org/apache/lucene/queryParser/standard/nodes/MultiPhraseQueryNode.java",1
130,"Michael Busch","contrib/queryparser/src/java/org/apache/lucene/queryParser/standard/nodes/MultiPhraseQueryNode.java",107
131,"Michael Busch","contrib/queryparser/src/java/org/apache/lucene/queryParser/standard/nodes/PrefixWildcardQueryNode.java",63
132,"Michael Busch","contrib/queryparser/src/java/org/apache/lucene/queryParser/standard/nodes/WildcardQueryNode.java",69
133,"Michael McCandless","contrib/queryparser/src/java/org/apache/lucene/queryParser/standard/nodes/StandardBooleanQueryNode.java",4
134,"Michael Busch","contrib/queryparser/src/java/org/apache/lucene/queryParser/standard/nodes/StandardBooleanQueryNode.java",51
135,"Michael McCandless","contrib/queryparser/src/java/org/apache/lucene/queryParser/standard/StandardQueryParser.java",40
136,"Michael Busch","contrib/queryparser/src/java/org/apache/lucene/queryParser/standard/StandardQueryParser.java",390
137,"Michael McCandless","contrib/queryparser/src/java/org/apache/lucene/queryParser/standard/QueryParserWrapper.java",30
138,"Michael Busch","contrib/queryparser/src/java/org/apache/lucene/queryParser/standard/QueryParserWrapper.java",458
139,"Michael McCandless","contrib/queryparser/src/java/org/apache/lucene/queryParser/standard/parser/EscapeQuerySyntaxImpl.java",1
140,"Michael Busch","contrib/queryparser/src/java/org/apache/lucene/queryParser/standard/parser/EscapeQuerySyntaxImpl.java",292
141,"Chris M. Hostetter","contrib/queryparser/src/java/org/apache/lucene/queryParser/standard/parser/EscapeQuerySyntaxImpl.java",2
142,"Mark Robert Miller","contrib/queryparser/src/java/org/apache/lucene/queryParser/standard/parser/EscapeQuerySyntaxImpl.java",1
143,"Michael McCandless","contrib/queryparser/src/java/org/apache/lucene/queryParser/standard/parser/StandardSyntaxParserTokenManager.java",6
144,"Michael Busch","contrib/queryparser/src/java/org/apache/lucene/queryParser/standard/parser/StandardSyntaxParserTokenManager.java",1089
145,"Michael McCandless","contrib/queryparser/src/java/org/apache/lucene/queryParser/standard/parser/StandardSyntaxParser.java",12
146,"Michael Busch","contrib/queryparser/src/java/org/apache/lucene/queryParser/standard/parser/StandardSyntaxParser.java",873
147,"Mark Robert Miller","contrib/queryparser/src/java/org/apache/lucene/queryParser/standard/parser/StandardSyntaxParser.java",1
148,"Michael McCandless","contrib/queryparser/src/java/org/apache/lucene/queryParser/standard/parser/StandardSyntaxParserConstants.java",3
149,"Michael Busch","contrib/queryparser/src/java/org/apache/lucene/queryParser/standard/parser/StandardSyntaxParserConstants.java",113
150,"Michael Busch","contrib/queryparser/src/java/org/apache/lucene/queryParser/standard/parser/ParseException.java",192
151,"Michael McCandless","contrib/queryparser/src/java/org/apache/lucene/queryParser/standard/parser/ParseException.java",2
152,"Mark Robert Miller","contrib/queryparser/src/java/org/apache/lucene/queryParser/standard/parser/ParseException.java",3
153,"Michael Busch","contrib/queryparser/src/java/org/apache/lucene/queryParser/standard/parser/JavaCharStream.java",616
154,"Michael McCandless","contrib/queryparser/src/java/org/apache/lucene/queryParser/standard/parser/JavaCharStream.java",1
155,"Michael Busch","contrib/queryparser/src/java/org/apache/lucene/queryParser/standard/parser/TokenMgrError.java",146
156,"Michael McCandless","contrib/queryparser/src/java/org/apache/lucene/queryParser/standard/parser/TokenMgrError.java",1
157,"Michael Busch","contrib/queryparser/src/java/org/apache/lucene/queryParser/standard/parser/Token.java",130
158,"Michael McCandless","contrib/queryparser/src/java/org/apache/lucene/queryParser/standard/parser/Token.java",1
159,"Michael McCandless","contrib/queryparser/src/java/org/apache/lucene/queryParser/standard/MultiFieldQueryParserWrapper.java",3
160,"Michael Busch","contrib/queryparser/src/java/org/apache/lucene/queryParser/standard/MultiFieldQueryParserWrapper.java",266
161,"Michael McCandless","contrib/queryparser/src/java/org/apache/lucene/queryParser/standard/QueryParserUtil.java",4
162,"Michael Busch","contrib/queryparser/src/java/org/apache/lucene/queryParser/standard/QueryParserUtil.java",185
163,"Mark Robert Miller","contrib/queryparser/src/java/org/apache/lucene/queryParser/standard/QueryParserUtil.java",17
164,"Michael McCandless","contrib/queryparser/src/java/org/apache/lucene/queryParser/standard/builders/MatchNoDocsQueryNodeBuilder.java",3
