"X","Author","Filename","NumLines"
49,"Hadrian Zbarcea","tests/camel-itest/src/test/java/org/apache/camel/itest/jetty/JettyJmsTwowayTest.java",1
50,"Claus Ibsen","tests/camel-itest/src/test/java/org/apache/camel/itest/jetty/JettyJmsTwowayTest.java",1
51,"Willem Ning Jiang","tests/camel-itest/src/test/java/org/apache/camel/itest/jetty/SetResponseProcessor.java",33
52,"Claus Ibsen","tests/camel-itest/src/test/java/org/apache/camel/itest/jetty/JettyValidatorStreamTest.java",46
53,"Willem Ning Jiang","tests/camel-itest/src/test/java/org/apache/camel/itest/jetty/JettyValidatorStreamTest.java",4
54,"Willem Ning Jiang","tests/camel-itest/src/test/java/org/apache/camel/itest/jetty/SetExchangePatternProcessor.java",35
55,"Claus Ibsen","tests/camel-itest/src/test/java/org/apache/camel/itest/async/HttpAsyncTest.java",79
56,"Willem Ning Jiang","tests/camel-itest/src/test/java/org/apache/camel/itest/async/HttpAsyncTest.java",4
57,"Claus Ibsen","tests/camel-itest/src/test/java/org/apache/camel/itest/async/HttpAsyncDslTest.java",129
58,"Willem Ning Jiang","tests/camel-itest/src/test/java/org/apache/camel/itest/async/HttpAsyncDslTest.java",8
59,"Claus Ibsen","tests/camel-itest/src/test/java/org/apache/camel/itest/async/HttpSyncTest.java",67
60,"Willem Ning Jiang","tests/camel-itest/src/test/java/org/apache/camel/itest/async/HttpSyncTest.java",4
61,"Claus Ibsen","tests/camel-itest/src/test/java/org/apache/camel/itest/async/HttpAsyncCallbackTest.java",100
62,"Claus Ibsen","tests/camel-itest/src/test/java/org/apache/camel/itest/jms/JmsHttpJmsTest.java",73
63,"Willem Ning Jiang","tests/camel-itest/src/test/java/org/apache/camel/itest/jms/JmsHttpJmsTest.java",4
64,"Claus Ibsen","tests/camel-itest/src/test/java/org/apache/camel/itest/jms/JmsJaxbTest.java",114
65,"Willem Ning Jiang","tests/camel-itest/src/test/java/org/apache/camel/itest/jms/JmsJaxbTest.java",6
66,"James Strachan","tests/camel-itest/src/test/java/org/apache/camel/itest/jms/JmsPerformanceTest.java",132
67,"Willem Ning Jiang","tests/camel-itest/src/test/java/org/apache/camel/itest/jms/JmsPerformanceTest.java",14
68,"James Strachan","tests/camel-itest/src/test/java/org/apache/camel/itest/jms/JmsMediumQueuePerformanceTest.java",40
69,"Willem Ning Jiang","tests/camel-itest/src/test/java/org/apache/camel/itest/jms/JmsMediumQueuePerformanceTest.java",6
70,"Willem Ning Jiang","tests/camel-itest/src/test/java/org/apache/camel/itest/jms/FileToJmsTest.java",20
71,"Claus Ibsen","tests/camel-itest/src/test/java/org/apache/camel/itest/jms/FileToJmsTest.java",25
72,"Willem Ning Jiang","tests/camel-itest/src/test/java/org/apache/camel/itest/jms/JmsResequencerTest.java",176
73,"Claus Ibsen","tests/camel-itest/src/test/java/org/apache/camel/itest/jms/PurchaseOrder.java",84
74,"James Strachan","tests/camel-itest/src/test/java/org/apache/camel/itest/jms/StopWatch.java",107
75,"Willem Ning Jiang","tests/camel-itest/src/test/java/org/apache/camel/itest/jms/StopWatch.java",2
76,"James Strachan","tests/camel-itest/src/test/java/org/apache/camel/itest/jms/JmsIntegrationTest.java",67
77,"Hiram R. Chirino","tests/camel-itest/src/test/java/org/apache/camel/itest/jms/JmsIntegrationTest.java",3
78,"Willem Ning Jiang","tests/camel-itest/src/test/java/org/apache/camel/itest/jms/JmsIntegrationTest.java",4
79,"Claus Ibsen","tests/camel-itest/src/test/java/org/apache/camel/itest/jms/InvalidOrderException.java",27
80,"Claus Ibsen","tests/camel-itest/src/test/java/org/apache/camel/itest/issues/DerivedClass.java",33
81,"Claus Ibsen","tests/camel-itest/src/test/java/org/apache/camel/itest/issues/BaseClass.java",29
82,"Willem Ning Jiang","tests/camel-itest/src/test/java/org/apache/camel/itest/issues/BaseClass.java",1
83,"Claus Ibsen","tests/camel-itest/src/test/java/org/apache/camel/itest/issues/BeanCallDerivedClassTest.java",41
84,"Willem Ning Jiang","tests/camel-itest/src/test/java/org/apache/camel/itest/customerrelations/CustomerServiceV1Impl.java",41
85,"Willem Ning Jiang","tests/camel-itest/src/test/java/org/apache/camel/itest/customerrelations/CustomerServicesTest.java",82
86,"Willem Ning Jiang","tests/camel-itest/src/test/java/org/apache/camel/itest/customerrelations/CustomerServicesWsAddressingTest.java",52
87,"Willem Ning Jiang","tests/camel-itest/src/test/java/org/apache/camel/itest/greeter/JmsPrepareRequest.java",29
88,"Willem Ning Jiang","tests/camel-itest/src/test/java/org/apache/camel/itest/greeter/JmsPrepareResponse.java",27
89,"Claus Ibsen","tests/camel-itest/src/test/java/org/apache/camel/itest/greeter/JmsPrepareResponse.java",1
90,"Willem Ning Jiang","tests/camel-itest/src/test/java/org/apache/camel/itest/greeter/CamelGreeterTest.java",89
91,"Hadrian Zbarcea","tests/camel-itest/src/test/java/org/apache/camel/itest/greeter/CamelGreeterTest.java",1
92,"Claus Ibsen","tests/camel-itest/src/test/java/org/apache/camel/itest/greeter/CamelGreeterTest.java",1
93,"Willem Ning Jiang","tests/camel-itest/src/test/java/org/apache/camel/itest/greeter/CamelGreeterConsumerTest.java",57
94,"Claus Ibsen","tests/camel-itest/src/test/java/org/apache/camel/itest/greeter/CamelGreeterConsumerTest.java",2
95,"Willem Ning Jiang","tests/camel-itest/src/test/java/org/apache/camel/itest/greeter/PrepareRequest.java",40
96,"Willem Ning Jiang","tests/camel-itest/src/test/java/org/apache/camel/itest/greeter/PrepareResponse.java",27
97,"Claus Ibsen","tests/camel-itest/src/test/java/org/apache/camel/itest/greeter/PrepareResponse.java",1
98,"Willem Ning Jiang","tests/camel-itest/src/test/java/org/apache/camel/itest/greeter/GreeterImpl.java",58
99,"Claus Ibsen","tests/camel-itest/src/test/java/org/apache/camel/itest/greeter/GreeterImpl.java",7
100,"Willem Ning Jiang","tests/camel-itest/src/test/java/org/apache/camel/itest/greeter/Server.java",46
101,"Willem Ning Jiang","tests/camel-itest/src/test/java/org/apache/camel/itest/ftp/SpringFileAntPathMatcherRemoteFileFilterTest.java",76
102,"Claus Ibsen","tests/camel-itest/src/test/java/org/apache/camel/itest/ftp/SpringFileAntPathMatcherRemoteFileFilterTest.java",25
103,"Claus Ibsen","tests/camel-itest/src/test/java/org/apache/camel/itest/ftp/SpringFtpEndpointTest.java",86
104,"Willem Ning Jiang","tests/camel-itest/src/test/java/org/apache/camel/itest/ftp/SpringFtpEndpointTest.java",10
105,"Jonathan Anstey","tests/camel-itest/src/test/java/org/apache/camel/itest/http/HttpEndpointTest.java",16
106,"Claus Ibsen","tests/camel-itest/src/test/java/org/apache/camel/itest/http/HttpEndpointTest.java",29
107,"Willem Ning Jiang","tests/camel-itest/src/test/java/org/apache/camel/itest/http/HttpEndpointTest.java",5
108,"Jonathan Anstey","tests/camel-itest/src/test/java/org/apache/camel/itest/http/HttpMaxConnectionPerHostTest.java",16
109,"Claus Ibsen","tests/camel-itest/src/test/java/org/apache/camel/itest/http/HttpMaxConnectionPerHostTest.java",30
110,"Willem Ning Jiang","tests/camel-itest/src/test/java/org/apache/camel/itest/http/HttpMaxConnectionPerHostTest.java",4
111,"Claus Ibsen","tests/camel-itest/src/test/java/org/apache/camel/itest/http/InterceptEndpointTest.java",45
112,"Willem Ning Jiang","tests/camel-itest/src/test/java/org/apache/camel/itest/http/InterceptEndpointTest.java",4
113,"Claus Ibsen","tests/camel-itest/src/test/java/org/apache/camel/itest/mail/SpringMailEndpointTest.java",49
114,"Willem Ning Jiang","tests/camel-itest/src/test/java/org/apache/camel/itest/mail/SpringMailEndpointTest.java",5
115,"Claus Ibsen","components/camel-irc/src/test/java/org/apache/camel/component/irc/IrcPrivmsgTest.java",95
116,"James Strachan","components/camel-irc/src/test/java/org/apache/camel/component/irc/CodehausIrcChat.java",44
117,"Hiram R. Chirino","components/camel-irc/src/test/java/org/apache/camel/component/irc/CodehausIrcChat.java",74
118,"Willem Ning Jiang","components/camel-irc/src/test/java/org/apache/camel/component/irc/CodehausIrcChat.java",1
119,"Claus Ibsen","components/camel-irc/src/test/java/org/apache/camel/component/irc/CodehausIrcChat.java",2
120,"Jonathan Anstey","components/camel-irc/src/test/java/org/apache/camel/component/irc/IrcsRouteTest.java",35
121,"James Strachan","components/camel-irc/src/test/java/org/apache/camel/component/irc/IrcRouteTest.java",64
122,"Hiram R. Chirino","components/camel-irc/src/test/java/org/apache/camel/component/irc/IrcRouteTest.java",3
123,"Willem Ning Jiang","components/camel-irc/src/test/java/org/apache/camel/component/irc/IrcRouteTest.java",5
124,"Jonathan Anstey","components/camel-irc/src/test/java/org/apache/camel/component/irc/IrcRouteTest.java",14
125,"Claus Ibsen","components/camel-irc/src/test/java/org/apache/camel/component/irc/IrcRouteTest.java",2
126,"James Strachan","components/camel-irc/src/main/java/org/apache/camel/component/irc/IrcConfiguration.java",194
127,"Hiram R. Chirino","components/camel-irc/src/main/java/org/apache/camel/component/irc/IrcConfiguration.java",3
128,"Jonathan Anstey","components/camel-irc/src/main/java/org/apache/camel/component/irc/IrcConfiguration.java",39
129,"Claus Ibsen","components/camel-irc/src/main/java/org/apache/camel/component/irc/IrcConfiguration.java",27
130,"Willem Ning Jiang","components/camel-irc/src/main/java/org/apache/camel/component/irc/IrcConfiguration.java",4
131,"James Strachan","components/camel-irc/src/main/java/org/apache/camel/component/irc/IrcProducer.java",68
132,"Hiram R. Chirino","components/camel-irc/src/main/java/org/apache/camel/component/irc/IrcProducer.java",6
133,"Hadrian Zbarcea","components/camel-irc/src/main/java/org/apache/camel/component/irc/IrcProducer.java",1
134,"Claus Ibsen","components/camel-irc/src/main/java/org/apache/camel/component/irc/IrcProducer.java",17
135,"James Strachan","components/camel-irc/src/main/java/org/apache/camel/component/irc/IrcErrorLogger.java",88
136,"Hiram R. Chirino","components/camel-irc/src/main/java/org/apache/camel/component/irc/IrcErrorLogger.java",1
137,"Willem Ning Jiang","components/camel-irc/src/main/java/org/apache/camel/component/irc/IrcErrorLogger.java",1
138,"James Strachan","components/camel-irc/src/main/java/org/apache/camel/component/irc/IrcEndpoint.java",93
139,"Hiram R. Chirino","components/camel-irc/src/main/java/org/apache/camel/component/irc/IrcEndpoint.java",1
140,"Hadrian Zbarcea","components/camel-irc/src/main/java/org/apache/camel/component/irc/IrcEndpoint.java",47
141,"Willem Ning Jiang","components/camel-irc/src/main/java/org/apache/camel/component/irc/IrcEndpoint.java",2
142,"Jonathan Anstey","components/camel-irc/src/main/java/org/apache/camel/component/irc/IrcEndpoint.java",1
143,"James Strachan","components/camel-irc/src/main/java/org/apache/camel/component/irc/IrcComponent.java",89
144,"Hiram R. Chirino","components/camel-irc/src/main/java/org/apache/camel/component/irc/IrcComponent.java",8
145,"Willem Ning Jiang","components/camel-irc/src/main/java/org/apache/camel/component/irc/IrcComponent.java",7
