"X","Author","Filename","NumLines"
0,"Christian Mueller","tests/camel-performance/src/test/java/org/apache/camel/test/perf/XPathBasedRoutingPerformanceTest.java",75
1,"Babak Vahdat","tests/camel-performance/src/test/java/org/apache/camel/test/perf/XPathBasedRoutingPerformanceTest.java",6
2,"Christian Mueller","tests/camel-performance/src/test/java/org/apache/camel/test/perf/esb/AbstractBaseEsbPerformanceIntegrationTest.java",89
3,"Christian Mueller","tests/camel-performance/src/test/java/org/apache/camel/test/perf/esb/ProxyEsbPerformanceIntegrationTest.java",39
4,"Christian Mueller","tests/camel-performance/src/test/java/org/apache/camel/test/perf/esb/HttpHbrEsbPerformanceIntegrationTest.java",39
5,"Christian Mueller","tests/camel-performance/src/test/java/org/apache/camel/test/perf/esb/WSSecurityPasswordCallback.java",32
6,"Christian Mueller","tests/camel-performance/src/test/java/org/apache/camel/test/perf/esb/EchoService.java",135
7,"Christian Mueller","tests/camel-performance/src/test/java/org/apache/camel/test/perf/esb/CbrEsbPerformanceIntegrationTest.java",39
8,"Christian Mueller","tests/camel-performance/src/test/java/org/apache/camel/test/perf/esb/SecureProxyEsbPerformanceIntegrationTest.java",47
9,"Christian Mueller","tests/camel-performance/src/test/java/org/apache/camel/test/perf/esb/XsltEsbPerformanceIntegrationTest.java",39
10,"Christian Mueller","tests/camel-performance/src/test/java/org/apache/camel/test/perf/esb/SoapHbrEsbPerformanceIntegrationTest.java",39
11,"Christian Mueller","tests/camel-performance/src/test/java/org/apache/camel/test/perf/ContentBasedRoutingPerformanceTest.java",104
12,"Babak Vahdat","tests/camel-performance/src/test/java/org/apache/camel/test/perf/ContentBasedRoutingPerformanceTest.java",11
13,"Christian Mueller","tests/camel-performance/src/test/java/org/apache/camel/test/perf/XQueryBasedRoutingPerformanceTest.java",75
14,"Babak Vahdat","tests/camel-performance/src/test/java/org/apache/camel/test/perf/XQueryBasedRoutingPerformanceTest.java",6
15,"Christian Mueller","tests/camel-performance/src/test/java/org/apache/camel/test/perf/XsltPerformanceTest.java",49
16,"Babak Vahdat","tests/camel-performance/src/test/java/org/apache/camel/test/perf/XsltPerformanceTest.java",4
17,"Christian Mueller","tests/camel-performance/src/test/java/org/apache/camel/test/perf/AbstractBasePerformanceTest.java",61
18,"Christian Mueller","tests/camel-performance/src/test/java/org/apache/camel/test/perf/SplitterPerformanceTest.java",86
19,"Babak Vahdat","tests/camel-performance/src/test/java/org/apache/camel/test/perf/SplitterPerformanceTest.java",5
20,"Christian Mueller","tests/camel-performance/src/test/java/org/apache/camel/test/perf/HeaderBasedRoutingPerformanceTest.java",110
21,"Babak Vahdat","tests/camel-performance/src/test/java/org/apache/camel/test/perf/HeaderBasedRoutingPerformanceTest.java",12
22,"Hadrian Zbarcea","tests/camel-itest-performance/src/test/java/org/apache/camel/tests/performance/ProducerCacheHitsTest.java",103
23,"Hadrian Zbarcea","tests/camel-itest-performance/src/test/java/org/apache/camel/tests/performance/NoTest.java",28
24,"Hadrian Zbarcea","tests/camel-itest-performance/src/main/java/org/apache/camel/tests/component/EchoTestComponent.java",80
25,"Hadrian Zbarcea","tests/camel-itest-performance/src/main/java/org/apache/camel/tests/component/PerformanceTestComponent.java",141
26,"Babak Vahdat","tests/camel-itest-performance/src/main/java/org/apache/camel/tests/component/PerformanceTestComponent.java",7
27,"Claus Ibsen","tests/camel-typeconverterscan-test/src/test/java/org/apache/camel/tests/typeconverterscan/RouteTest.java",47
28,"Claus Ibsen","tests/camel-typeconverterscan-test/src/test/java/org/apache/camel/tests/typeconverterscan/MyBean.java",77
29,"Claus Ibsen","tests/camel-typeconverterscan-test/src/test/java/org/apache/camel/tests/typeconverterscan/MyConverter.java",32
30,"Claus Ibsen","tests/camel-itest-osgi/src/test/java/org/apache/camel/itest/osgi/bindy/BindySpringDataFormatCsvTest.java",112
31,"Claus Ibsen","tests/camel-itest-osgi/src/test/java/org/apache/camel/itest/osgi/bindy/Employee.java",113
32,"Claus Ibsen","tests/camel-itest-osgi/src/test/java/org/apache/camel/itest/osgi/bindy/BindyDataFormatCsvTest.java",125
