"File","SLOC","Comments","Ratio_code_comment","McCabe","NumFiles","Ownership_Lines","Minor_Lines","Major_lines","LineAuthors","Commits","LineAdded","LineDeleted","CommitAuthors","Ownership_Commits","Minor_Commits","Major_Commits","HasBug","BugCount"
"hadoop-common-project/hadoop-common/src/test/aop/org/apache/hadoop/fi",59,85,1.535,2.5,2,0.981012658227848,1,1,2,0,0,0,0,0,0,0,0,0
"hadoop-common-project/hadoop-common/src/test/system/c++/runAs",98,61,0.685,6.5,2,0.994117647058824,1,1,2,0,0,0,0,0,0,0,0,0
"hadoop-common-project/hadoop-common/src/test/system/validation/org/apache/hadoop/util",22,23,1.05,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0
"hadoop-common-project/hadoop-common/src/test/system/java/org/apache/hadoop/test/system",845,742,1.78428571428571,8.57142857142857,7,0.996575342465753,1,1,2,0,0,0,0,0,0,0,0,0
"hadoop-common-project/hadoop-common/src/test/system/java/org/apache/hadoop/test/system/process",390,211,2.52,5.25,4,0.99702823179792,1,1,2,0,0,0,0,0,0,0,0,0
"hadoop-common-project/hadoop-common/src/test/system/java/org/apache/hadoop/util",144,61,1.22,3,2,1,0,1,1,0,0,0,0,0,0,0,0,0
"hadoop-common-project/hadoop-common/src/test/java/org/apache/hadoop/test",481,406,1.22285714285714,1.85714285714286,7,0.429435483870968,1,4,5,2,67,9,2,0.5,0,2,0,0
"hadoop-common-project/hadoop-common/src/test/java/org/apache/hadoop/log",241,60,0.32,2,2,0.775862068965517,0,2,2,0,0,0,0,0,0,0,0,0
"hadoop-common-project/hadoop-common/src/test/java/org/apache/hadoop/fs",7534,2017,0.512444444444444,5.93333333333333,45,0.260960523922139,19,5,24,6,303,179,5,0.333333333333333,0,5,0,0
"hadoop-common-project/hadoop-common/src/test/java/org/apache/hadoop/fs/permission",641,31,0.05,27,1,0.820659971305595,2,2,4,0,0,0,0,0,0,0,0,0
"hadoop-common-project/hadoop-common/src/test/java/org/apache/hadoop/fs/viewfs",1691,716,0.765882352941176,0.411764705882353,17,0.978648932446622,2,1,3,1,49,1,1,1,0,1,1,9
"hadoop-common-project/hadoop-common/src/test/java/org/apache/hadoop/fs/loadGenerator",678,317,0.503333333333333,37.6666666666667,3,0.965867158671587,5,1,6,0,0,0,0,0,0,0,0,0
"hadoop-common-project/hadoop-common/src/test/java/org/apache/hadoop/fs/s3",257,125,0.987142857142857,2,7,0.973509933774834,1,1,2,0,0,0,0,0,0,0,0,0
"hadoop-common-project/hadoop-common/src/test/java/org/apache/hadoop/fs/shell",229,63,0.366666666666667,1,3,1,0,1,1,1,128,28,1,1,0,1,0,0
"hadoop-common-project/hadoop-common/src/test/java/org/apache/hadoop/fs/s3native",323,83,1.025,7.25,4,0.632016632016632,0,3,3,0,0,0,0,0,0,0,0,0
