File,Author,ChurnSize
,Bruce Snyder,28.0
activemq-all,Bruce Snyder,
activemq-book,Bruce Snyder,
activemq-camel,Bruce Snyder,
activemq-camel-loadtest,Bruce Snyder,
activemq-camel-loadtest/src/test/resources/org/apache/activemq/soaktest,Bruce Snyder,
activemq-camel/src/main/java/org/apache/activemq/camel/component,Bruce Snyder,
activemq-camel/src/test/java/org/apache/activemq/camel/component,Bruce Snyder,
activemq-console,Bruce Snyder,
activemq-core,Bruce Snyder,
activemq-core/src/main/java/org/apache/activemq,Bruce Snyder,
activemq-core/src/main/java/org/apache/activemq/broker,Bruce Snyder,
activemq-core/src/main/java/org/apache/activemq/broker/ft,Bruce Snyder,
activemq-core/src/main/java/org/apache/activemq/broker/jmx,Bruce Snyder,
activemq-core/src/main/java/org/apache/activemq/broker/region,Bruce Snyder,
activemq-core/src/main/java/org/apache/activemq/broker/region/cursors,Bruce Snyder,
activemq-core/src/main/java/org/apache/activemq/broker/region/policy,Bruce Snyder,
activemq-core/src/main/java/org/apache/activemq/broker/util,Bruce Snyder,
activemq-core/src/main/java/org/apache/activemq/broker/view,Bruce Snyder,
activemq-core/src/main/java/org/apache/activemq/command,Bruce Snyder,
activemq-core/src/main/java/org/apache/activemq/management,Bruce Snyder,
activemq-core/src/main/java/org/apache/activemq/network,Bruce Snyder,
activemq-core/src/main/java/org/apache/activemq/store/jdbc,Bruce Snyder,
activemq-core/src/main/java/org/apache/activemq/store/jdbc/adapter,Bruce Snyder,
activemq-core/src/main/java/org/apache/activemq/transaction,Bruce Snyder,
activemq-core/src/main/java/org/apache/activemq/transport,Bruce Snyder,
activemq-core/src/main/java/org/apache/activemq/transport/discovery/multicast,Bruce Snyder,
activemq-core/src/main/java/org/apache/activemq/transport/stomp,Bruce Snyder,
activemq-core/src/main/java/org/apache/activemq/transport/tcp,Bruce Snyder,56.0
activemq-core/src/main/java/org/apache/activemq/util,Bruce Snyder,
activemq-core/src/test/java/org/apache/activemq,Bruce Snyder,
activemq-core/src/test/java/org/apache/activemq/advisory,Bruce Snyder,
activemq-core/src/test/java/org/apache/activemq/broker/ft,Bruce Snyder,
activemq-core/src/test/java/org/apache/activemq/broker/jmx,Bruce Snyder,
activemq-core/src/test/java/org/apache/activemq/broker/region,Bruce Snyder,
activemq-core/src/test/java/org/apache/activemq/command,Bruce Snyder,
activemq-core/src/test/java/org/apache/activemq/network,Bruce Snyder,
activemq-core/src/test/java/org/apache/activemq/openwire,Bruce Snyder,
activemq-core/src/test/java/org/apache/activemq/openwire/v1,Bruce Snyder,
activemq-core/src/test/java/org/apache/activemq/openwire/v2,Bruce Snyder,
activemq-core/src/test/java/org/apache/activemq/perf,Bruce Snyder,
activemq-core/src/test/java/org/apache/activemq/thread,Bruce Snyder,
activemq-core/src/test/java/org/apache/activemq/transport/discovery,Bruce Snyder,
activemq-core/src/test/java/org/apache/activemq/transport/failover,Bruce Snyder,
activemq-core/src/test/java/org/apache/activemq/transport/tcp,Bruce Snyder,
activemq-core/src/test/java/org/apache/activemq/usecases,Bruce Snyder,
activemq-core/src/test/java/org/apache/activemq/util,Bruce Snyder,
activemq-core/src/test/resources,Bruce Snyder,
activemq-fileserver,Bruce Snyder,
activemq-groups,Bruce Snyder,
activemq-jaas,Bruce Snyder,
activemq-jmdns_1.0,Bruce Snyder,
activemq-jpa-store,Bruce Snyder,
activemq-openwire-generator,Bruce Snyder,
activemq-optional,Bruce Snyder,
activemq-pool,Bruce Snyder,
activemq-pool/src/main/java/org/apache/activemq/pool,Bruce Snyder,
activemq-ra,Bruce Snyder,
activemq-ra/src/test/java/org/apache/activemq/ra,Bruce Snyder,
activemq-rar,Bruce Snyder,
activemq-run,Bruce Snyder,
activemq-test-atomikos,Bruce Snyder,
activemq-tooling,Bruce Snyder,
activemq-tooling/maven-activemq-memtest-plugin,Bruce Snyder,
activemq-tooling/maven-activemq-perf-plugin,Bruce Snyder,
activemq-tooling/maven-activemq-plugin,Bruce Snyder,
activemq-web,Bruce Snyder,
activemq-web-console,Bruce Snyder,
activemq-web-console/src/main/java/org/apache/activemq/web/controller,Bruce Snyder,
activemq-web-console/src/main/webapp,Bruce Snyder,
activemq-web-console/src/main/webapp/WEB-INF,Bruce Snyder,
activemq-web-console/src/main/webapp/WEB-INF/jspf,Bruce Snyder,
activemq-web-console/src/main/webapp/js,Bruce Snyder,
activemq-web-console/src/main/webapp/styles,Bruce Snyder,
activemq-web-demo,Bruce Snyder,
activemq-web-demo/src/main/webapp/WEB-INF,Bruce Snyder,
activemq-web/src/main/java/org/apache/activemq/web,Bruce Snyder,
activemq-xmpp,Bruce Snyder,
assembly,Bruce Snyder,
assembly/src/main/descriptors,Bruce Snyder,
assembly/src/release/conf,Bruce Snyder,
assembly/src/release/webapps/admin/WEB-INF,Bruce Snyder,
,Gary Tully,9337.0
activemq-all,Gary Tully,419.0
activemq-book,Gary Tully,419.0
activemq-camel,Gary Tully,419.0
activemq-camel-loadtest,Gary Tully,5932.0
activemq-camel-loadtest/src/test/resources/org/apache/activemq/soaktest,Gary Tully,5932.0
activemq-camel/src/main/java/org/apache/activemq/camel/component,Gary Tully,1940.0
activemq-camel/src/test/java/org/apache/activemq/camel/component,Gary Tully,1940.0
activemq-console,Gary Tully,419.0
activemq-core,Gary Tully,6351.0
activemq-core/src/main/java/org/apache/activemq,Gary Tully,5933.0
activemq-core/src/main/java/org/apache/activemq/broker,Gary Tully,1974.0
activemq-core/src/main/java/org/apache/activemq/broker/ft,Gary Tully,1980.0
activemq-core/src/main/java/org/apache/activemq/broker/jmx,Gary Tully,7.0
activemq-core/src/main/java/org/apache/activemq/broker/region,Gary Tully,8092.0
activemq-core/src/main/java/org/apache/activemq/broker/region/cursors,Gary Tully,7925.0
activemq-core/src/main/java/org/apache/activemq/broker/region/policy,Gary Tully,5932.0
activemq-core/src/main/java/org/apache/activemq/broker/util,Gary Tully,5932.0
activemq-core/src/main/java/org/apache/activemq/broker/view,Gary Tully,5932.0
activemq-core/src/main/java/org/apache/activemq/command,Gary Tully,1940.0
activemq-core/src/main/java/org/apache/activemq/management,Gary Tully,5932.0
activemq-core/src/main/java/org/apache/activemq/network,Gary Tully,2538.0
activemq-core/src/main/java/org/apache/activemq/store/jdbc,Gary Tully,7913.0
activemq-core/src/main/java/org/apache/activemq/store/jdbc/adapter,Gary Tully,7874.0
activemq-core/src/main/java/org/apache/activemq/transaction,Gary Tully,5932.0
activemq-core/src/main/java/org/apache/activemq/transport,Gary Tully,2197.0
activemq-core/src/main/java/org/apache/activemq/transport/discovery/multicast,Gary Tully,7892.0
activemq-core/src/main/java/org/apache/activemq/transport/stomp,Gary Tully,5932.0
activemq-core/src/main/java/org/apache/activemq/transport/tcp,Gary Tully,8598.0
activemq-core/src/main/java/org/apache/activemq/util,Gary Tully,1940.0
activemq-core/src/test/java/org/apache/activemq,Gary Tully,8362.0
activemq-core/src/test/java/org/apache/activemq/advisory,Gary Tully,8207.0
activemq-core/src/test/java/org/apache/activemq/broker/ft,Gary Tully,39.0
activemq-core/src/test/java/org/apache/activemq/broker/jmx,Gary Tully,7.0
activemq-core/src/test/java/org/apache/activemq/broker/region,Gary Tully,5932.0
activemq-core/src/test/java/org/apache/activemq/command,Gary Tully,1940.0
activemq-core/src/test/java/org/apache/activemq/network,Gary Tully,8491.0
activemq-core/src/test/java/org/apache/activemq/openwire,Gary Tully,1940.0
activemq-core/src/test/java/org/apache/activemq/openwire/v1,Gary Tully,1940.0
activemq-core/src/test/java/org/apache/activemq/openwire/v2,Gary Tully,1940.0
activemq-core/src/test/java/org/apache/activemq/perf,Gary Tully,5932.0
activemq-core/src/test/java/org/apache/activemq/thread,Gary Tully,1961.0
activemq-core/src/test/java/org/apache/activemq/transport/discovery,Gary Tully,5952.0
activemq-core/src/test/java/org/apache/activemq/transport/failover,Gary Tully,
activemq-core/src/test/java/org/apache/activemq/transport/tcp,Gary Tully,1946.0
activemq-core/src/test/java/org/apache/activemq/usecases,Gary Tully,115.0
