File,Author,ChurnSize
,Nick Sieger,5264.0
.externalToolBuilders,Nick Sieger,
.settings,Nick Sieger,
bench,Nick Sieger,
bench/core/array,Nick Sieger,
bench/ffi,Nick Sieger,
bin,Nick Sieger,1382.0
build_lib,Nick Sieger,901.0
gem,Nick Sieger,343.0
gem/lib/jruby-jars,Nick Sieger,336.0
install,Nick Sieger,38.0
ivy,Nick Sieger,
lib,Nick Sieger,
lib/ruby/1.8,Nick Sieger,
lib/ruby/1.8/drb,Nick Sieger,
lib/ruby/1.8/irb,Nick Sieger,
lib/ruby/1.8/irb/cmd,Nick Sieger,
lib/ruby/1.8/irb/ext,Nick Sieger,
lib/ruby/1.8/irb/lc,Nick Sieger,
lib/ruby/1.8/irb/lc/ja,Nick Sieger,
lib/ruby/1.8/net,Nick Sieger,
lib/ruby/1.8/rdoc/ri,Nick Sieger,
lib/ruby/1.8/rexml,Nick Sieger,
lib/ruby/1.8/test,Nick Sieger,
lib/ruby/1.8/webrick,Nick Sieger,
lib/ruby/1.8/win32,Nick Sieger,
lib/ruby/1.9,Nick Sieger,
lib/ruby/1.9/drb,Nick Sieger,
lib/ruby/1.9/webrick,Nick Sieger,
lib/ruby/gems/1.8/specifications,Nick Sieger,22.0
lib/ruby/site_ruby/1.8,Nick Sieger,
lib/ruby/site_ruby/1.8/rbconfig,Nick Sieger,
lib/ruby/site_ruby/1.8/rubygems,Nick Sieger,
lib/ruby/site_ruby/1.8/rubygems/commands,Nick Sieger,
lib/ruby/site_ruby/1.8/rubygems/defaults,Nick Sieger,18.0
lib/ruby/site_ruby/1.8/rubygems/package,Nick Sieger,
lib/ruby/site_ruby/shared,Nick Sieger,
lib/ruby/site_ruby/shared/ant,Nick Sieger,1165.0
lib/ruby/site_ruby/shared/builtin/java,Nick Sieger,99.0
lib/ruby/site_ruby/shared/builtin/javasupport,Nick Sieger,
lib/ruby/site_ruby/shared/builtin/javasupport/core_ext,Nick Sieger,
lib/ruby/site_ruby/shared/builtin/javasupport/proxy,Nick Sieger,
lib/ruby/site_ruby/shared/ffi,Nick Sieger,
lib/ruby/site_ruby/shared/ffi/platform/i386-windows,Nick Sieger,
lib/ruby/site_ruby/shared/jruby,Nick Sieger,
lib/ruby/site_ruby/shared/jruby/compiler,Nick Sieger,
lib/ruby/site_ruby/shared/jruby/openssl,Nick Sieger,17.0
maven/jruby,Nick Sieger,182.0
maven/jruby-complete,Nick Sieger,182.0
maven/jruby-rake-plugin,Nick Sieger,182.0
maven/jruby-rake-plugin/src/main/java/org/jruby/maven,Nick Sieger,34.0
modules,Nick Sieger,
nbproject,Nick Sieger,2008.0
rakelib,Nick Sieger,
samples/ffi,Nick Sieger,
samples/jnlp,Nick Sieger,
samples/jrubyc_java,Nick Sieger,
samples/minijava,Nick Sieger,
spec,Nick Sieger,
spec/ffi,Nick Sieger,
spec/grammar/java_signature,Nick Sieger,
spec/grammar/java_signature/helpers,Nick Sieger,
spec/java_integration,Nick Sieger,211.0
spec/java_integration/addons,Nick Sieger,
spec/java_integration/ant,Nick Sieger,342.0
spec/java_integration/fields,Nick Sieger,
spec/java_integration/fixtures,Nick Sieger,
spec/java_integration/interfaces,Nick Sieger,153.0
spec/java_integration/jrubyc,Nick Sieger,
spec/java_integration/jrubyc/java,Nick Sieger,
spec/java_integration/methods,Nick Sieger,
spec/java_integration/packages,Nick Sieger,
spec/java_integration/reify,Nick Sieger,
spec/java_integration/types,Nick Sieger,901.0
spec/java_integration/utilities,Nick Sieger,942.0
spec/tags/1.8/ruby/core/argf,Nick Sieger,
spec/tags/1.8/ruby/core/array,Nick Sieger,
spec/tags/1.8/ruby/core/bignum,Nick Sieger,
spec/tags/1.8/ruby/core/continuation,Nick Sieger,
spec/tags/1.8/ruby/core/dir,Nick Sieger,
spec/tags/1.8/ruby/core/enumerable,Nick Sieger,
spec/tags/1.8/ruby/core/env,Nick Sieger,
spec/tags/1.8/ruby/core/file,Nick Sieger,
spec/tags/1.8/ruby/core/filetest,Nick Sieger,
spec/tags/1.8/ruby/core/hash,Nick Sieger,
spec/tags/1.8/ruby/core/io,Nick Sieger,8.0
spec/tags/1.8/ruby/core/kernel,Nick Sieger,
spec/tags/1.8/ruby/core/marshal,Nick Sieger,
spec/tags/1.8/ruby/core/math,Nick Sieger,
spec/tags/1.8/ruby/core/module,Nick Sieger,
spec/tags/1.8/ruby/core/objectspace,Nick Sieger,
spec/tags/1.8/ruby/core/proc,Nick Sieger,
spec/tags/1.8/ruby/core/process,Nick Sieger,
spec/tags/1.8/ruby/core/string,Nick Sieger,
spec/tags/1.8/ruby/core/symbol,Nick Sieger,
spec/tags/1.8/ruby/core/thread,Nick Sieger,
spec/tags/1.8/ruby/core/time,Nick Sieger,
spec/tags/1.8/ruby/language,Nick Sieger,
spec/tags/1.8/ruby/library/bigdecimal,Nick Sieger,
spec/tags/1.8/ruby/library/complex/numeric,Nick Sieger,
spec/tags/1.8/ruby/library/date,Nick Sieger,
spec/tags/1.8/ruby/library/delegate,Nick Sieger,
spec/tags/1.8/ruby/library/digest/sha256,Nick Sieger,
spec/tags/1.8/ruby/library/digest/sha384,Nick Sieger,
spec/tags/1.8/ruby/library/digest/sha512,Nick Sieger,
spec/tags/1.8/ruby/library/enumerator,Nick Sieger,1.0
spec/tags/1.8/ruby/library/erb,Nick Sieger,
spec/tags/1.8/ruby/library/iconv,Nick Sieger,
spec/tags/1.8/ruby/library/mathn/bignum,Nick Sieger,
spec/tags/1.8/ruby/library/mathn/fixnum,Nick Sieger,
spec/tags/1.8/ruby/library/mathn/float,Nick Sieger,
