File,Author,ChurnSize
camel-core/src/test/resources/org/apache/camel/component/validator/relativeparent,Hadrian Zbarcea,
camel-core/src/test/resources/org/apache/camel/component/validator/relativeparent/child,Hadrian Zbarcea,
components,Hadrian Zbarcea,1814.0
components/camel-ahc,Hadrian Zbarcea,1814.0
components/camel-ahc/src/main/java/org/apache/camel/component/ahc,Hadrian Zbarcea,
components/camel-ahc/src/test/java/org/apache/camel/component/ahc,Hadrian Zbarcea,
components/camel-ahc/src/test/resources,Hadrian Zbarcea,
components/camel-amqp,Hadrian Zbarcea,1814.0
components/camel-amqp/src/main/java/org/apache/camel/component/amqp,Hadrian Zbarcea,
components/camel-amqp/src/test/java/org/apache/camel/component/amqp,Hadrian Zbarcea,
components/camel-amqp/src/test/resources,Hadrian Zbarcea,
components/camel-apns,Hadrian Zbarcea,1814.0
components/camel-atom,Hadrian Zbarcea,1814.0
components/camel-avro,Hadrian Zbarcea,1814.0
components/camel-avro/src/main/java/org/apache/camel/component/avro,Hadrian Zbarcea,
components/camel-avro/src/main/java/org/apache/camel/dataformat/avro,Hadrian Zbarcea,
components/camel-avro/src/test/java/org/apache/camel/component/avro,Hadrian Zbarcea,38.0
components/camel-avro/src/test/java/org/apache/camel/dataformat/avro,Hadrian Zbarcea,
components/camel-aws,Hadrian Zbarcea,1814.0
components/camel-aws/src/main/java/org/apache/camel/component/aws/sqs,Hadrian Zbarcea,
components/camel-aws/src/test/java/org/apache/camel/component/aws/sqs,Hadrian Zbarcea,
components/camel-bam,Hadrian Zbarcea,3319.0
components/camel-bam/src/main/java/org/apache/camel/bam,Hadrian Zbarcea,
components/camel-bam/src/main/java/org/apache/camel/bam/model,Hadrian Zbarcea,
components/camel-bam/src/main/java/org/apache/camel/bam/rules,Hadrian Zbarcea,
components/camel-bam/src/test/java/org/apache/camel/bam,Hadrian Zbarcea,
components/camel-bam/src/test/profiles/derby,Hadrian Zbarcea,
components/camel-bam/src/test/profiles/derby/META-INF,Hadrian Zbarcea,
components/camel-bam/src/test/profiles/derby/META-INF/spring,Hadrian Zbarcea,
components/camel-bam/src/test/profiles/eclipselink/META-INF,Hadrian Zbarcea,
components/camel-bam/src/test/profiles/eclipselink/META-INF/spring,Hadrian Zbarcea,
components/camel-bam/src/test/profiles/hibernate/META-INF,Hadrian Zbarcea,
components/camel-bam/src/test/profiles/hibernate/META-INF/spring,Hadrian Zbarcea,
components/camel-bam/src/test/profiles/mysql,Hadrian Zbarcea,
components/camel-bam/src/test/profiles/mysql/META-INF,Hadrian Zbarcea,
components/camel-bam/src/test/profiles/mysql/META-INF/spring,Hadrian Zbarcea,
components/camel-bam/src/test/profiles/openjpa/META-INF,Hadrian Zbarcea,
components/camel-bam/src/test/profiles/openjpa/META-INF/spring,Hadrian Zbarcea,
components/camel-bean-validator,Hadrian Zbarcea,1814.0
components/camel-beanio,Hadrian Zbarcea,1814.0
components/camel-beanio/src/main/java/org/apache/camel/dataformat/beanio,Hadrian Zbarcea,
components/camel-beanio/src/test/java/org/apache/camel/dataformat/beanio,Hadrian Zbarcea,
components/camel-bindy,Hadrian Zbarcea,1814.0
components/camel-bindy/src/main/java/org/apache/camel/dataformat/bindy,Hadrian Zbarcea,
components/camel-bindy/src/main/java/org/apache/camel/dataformat/bindy/annotation,Hadrian Zbarcea,
components/camel-bindy/src/main/java/org/apache/camel/dataformat/bindy/csv,Hadrian Zbarcea,
components/camel-bindy/src/main/java/org/apache/camel/dataformat/bindy/fixed,Hadrian Zbarcea,
components/camel-bindy/src/main/java/org/apache/camel/dataformat/bindy/format,Hadrian Zbarcea,
components/camel-bindy/src/main/java/org/apache/camel/dataformat/bindy/kvp,Hadrian Zbarcea,
components/camel-bindy/src/test/java/org/apache/camel/dataformat/bindy/csv,Hadrian Zbarcea,
components/camel-bindy/src/test/java/org/apache/camel/dataformat/bindy/csv2,Hadrian Zbarcea,
components/camel-bindy/src/test/java/org/apache/camel/dataformat/bindy/model/tab,Hadrian Zbarcea,
components/camel-blueprint,Hadrian Zbarcea,1814.0
components/camel-blueprint/src/main/java/org/apache/camel/blueprint,Hadrian Zbarcea,
components/camel-blueprint/src/main/java/org/apache/camel/blueprint/handler,Hadrian Zbarcea,
components/camel-blueprint/src/main/java/org/apache/camel/util/blueprint,Hadrian Zbarcea,
components/camel-blueprint/src/test/java/org/apache/camel/blueprint,Hadrian Zbarcea,
components/camel-blueprint/src/test/resources,Hadrian Zbarcea,
components/camel-cache,Hadrian Zbarcea,1814.0
components/camel-cache/src/main/java/org/apache/camel/component/cache,Hadrian Zbarcea,
components/camel-cache/src/test/java/org/apache/camel/component/cache,Hadrian Zbarcea,
components/camel-castor,Hadrian Zbarcea,1814.0
components/camel-cdi,Hadrian Zbarcea,2769.0
components/camel-cdi/src/main/java/org/apache/camel/component/cdi,Hadrian Zbarcea,1017.0
components/camel-cdi/src/main/java/org/apache/camel/component/cdi/util,Hadrian Zbarcea,932.0
components/camel-cdi/src/main/resources/META-INF,Hadrian Zbarcea,
components/camel-cdi/src/main/resources/META-INF/services,Hadrian Zbarcea,932.0
components/camel-cdi/src/test/java/org/apache/camel/cdi,Hadrian Zbarcea,989.0
components/camel-cdi/src/test/java/org/apache/camel/cdi/store,Hadrian Zbarcea,966.0
