Author,File,NumLines
Michael Stack,src/test/java/org/apache/hadoop/hbase/zookeeper,552.0
Michael Stack,src/test/ruby,132.0
Michael Stack,src/test/ruby/hbase,669.0
Michael Stack,src/test/ruby/shell,112.0
Nicolas Spiegelberg,src/test/java/org/apache/hadoop/hbase,232.0
Nicolas Spiegelberg,src/test/java/org/apache/hadoop/hbase/client,28.0
Nicolas Spiegelberg,src/test/java/org/apache/hadoop/hbase/coprocessor,8.0
Nicolas Spiegelberg,src/test/java/org/apache/hadoop/hbase/io,1.0
Nicolas Spiegelberg,src/test/java/org/apache/hadoop/hbase/io/hfile,270.0
Nicolas Spiegelberg,src/test/java/org/apache/hadoop/hbase/mapreduce,170.0
Nicolas Spiegelberg,src/test/java/org/apache/hadoop/hbase/thrift,4.0
Nitay Joffe,src/test/java/org/apache/hadoop/hbase,1.0
Nitay Joffe,src/test/java/org/apache/hadoop/hbase/zookeeper,12.0
Ryan Rawson,src/test/java/org/apache/hadoop/hbase,596.0
Ryan Rawson,src/test/java/org/apache/hadoop/hbase/client,2543.0
Ryan Rawson,src/test/java/org/apache/hadoop/hbase/io,122.0
Ryan Rawson,src/test/java/org/apache/hadoop/hbase/io/hfile,80.0
Ryan Rawson,src/test/java/org/apache/hadoop/hbase/thrift,70.0
Ted Yu,src/test/java/org/apache/hadoop/hbase,56.0
Todd Lipcon,src/test/java/org/apache/hadoop/hbase,530.0
Todd Lipcon,src/test/java/org/apache/hadoop/hbase/client,94.0
Todd Lipcon,src/test/java/org/apache/hadoop/hbase/io,29.0
Todd Lipcon,src/test/java/org/apache/hadoop/hbase/io/hfile,39.0
Todd Lipcon,src/test/java/org/apache/hadoop/hbase/mapreduce,556.0
Todd Lipcon,src/test/java/org/apache/hadoop/hbase/rest,19.0
Todd Lipcon,src/test/ruby,1.0
Todd Lipcon,src/test/ruby/hbase,1.0
Todd Lipcon,src/test/ruby/shell,1.0
Zhihong Yu,src/test/java/org/apache/hadoop/hbase,1329.0
Zhihong Yu,src/test/java/org/apache/hadoop/hbase/catalog,59.0
Zhihong Yu,src/test/java/org/apache/hadoop/hbase/client,1179.0
Zhihong Yu,src/test/java/org/apache/hadoop/hbase/client/replication,16.0
Zhihong Yu,src/test/java/org/apache/hadoop/hbase/coprocessor,1945.0
Zhihong Yu,src/test/java/org/apache/hadoop/hbase/coprocessor/example,407.0
Zhihong Yu,src/test/java/org/apache/hadoop/hbase/io,129.0
Zhihong Yu,src/test/java/org/apache/hadoop/hbase/io/encoding,8.0
Zhihong Yu,src/test/java/org/apache/hadoop/hbase/io/hfile,2409.0
Zhihong Yu,src/test/java/org/apache/hadoop/hbase/io/hfile/slab,41.0
Zhihong Yu,src/test/java/org/apache/hadoop/hbase/mapred,342.0
Zhihong Yu,src/test/java/org/apache/hadoop/hbase/mapreduce,1276.0
Zhihong Yu,src/test/java/org/apache/hadoop/hbase/migration,4.0
Zhihong Yu,src/test/java/org/apache/hadoop/hbase/rest,31.0
Zhihong Yu,src/test/java/org/apache/hadoop/hbase/rest/client,4.0
Zhihong Yu,src/test/java/org/apache/hadoop/hbase/rest/model,36.0
Zhihong Yu,src/test/java/org/apache/hadoop/hbase/snapshot,8.0
Zhihong Yu,src/test/java/org/apache/hadoop/hbase/thrift,540.0
Zhihong Yu,src/test/java/org/apache/hadoop/hbase/thrift2,483.0
Zhihong Yu,src/test/java/org/apache/hadoop/hbase/zookeeper,55.0
anoopsamjohn,src/test/java/org/apache/hadoop/hbase/client,48.0
anoopsamjohn,src/test/java/org/apache/hadoop/hbase/io,26.0
eclark,src/test/java/org/apache/hadoop/hbase,113.0
eclark,src/test/java/org/apache/hadoop/hbase/client,8.0
eclark,src/test/java/org/apache/hadoop/hbase/io/hfile,51.0
gchanan,src/test/java/org/apache/hadoop/hbase/client,47.0
gchanan,src/test/java/org/apache/hadoop/hbase/zookeeper,614.0
jeffreyz,src/test/java/org/apache/hadoop/hbase/rest,232.0
jxiang,src/test/java/org/apache/hadoop/hbase,64.0
jxiang,src/test/java/org/apache/hadoop/hbase/backup,5.0
jxiang,src/test/java/org/apache/hadoop/hbase/client,197.0
jxiang,src/test/java/org/apache/hadoop/hbase/coprocessor,28.0
jxiang,src/test/java/org/apache/hadoop/hbase/mapreduce,74.0
jxiang,src/test/java/org/apache/hadoop/hbase/rest/client,76.0
jyates,src/test/java/org/apache/hadoop/hbase/client,115.0
jyates,src/test/java/org/apache/hadoop/hbase/coprocessor,478.0
jyates,src/test/java/org/apache/hadoop/hbase/mapreduce,119.0
larsh,src/test/java/org/apache/hadoop/hbase,477.0
larsh,src/test/java/org/apache/hadoop/hbase/backup,248.0
larsh,src/test/java/org/apache/hadoop/hbase/catalog,2.0
larsh,src/test/java/org/apache/hadoop/hbase/client,1393.0
larsh,src/test/java/org/apache/hadoop/hbase/coprocessor,236.0
larsh,src/test/java/org/apache/hadoop/hbase/coprocessor/example,130.0
larsh,src/test/java/org/apache/hadoop/hbase/io,173.0
larsh,src/test/java/org/apache/hadoop/hbase/io/encoding,25.0
larsh,src/test/java/org/apache/hadoop/hbase/io/hfile,1378.0
larsh,src/test/java/org/apache/hadoop/hbase/mapreduce,1342.0
larsh,src/test/java/org/apache/hadoop/hbase/rest,16.0
larsh,src/test/java/org/apache/hadoop/hbase/rest/model,31.0
larsh,src/test/java/org/apache/hadoop/hbase/snapshot,30.0
larsh,src/test/java/org/apache/hadoop/hbase/thrift,6.0
larsh,src/test/java/org/apache/hadoop/hbase/zookeeper,4.0
larsh,src/test/ruby/hbase,66.0
liangxie,src/test/java/org/apache/hadoop/hbase,4.0
mbautin,src/test/java/org/apache/hadoop/hbase,65.0
mbautin,src/test/java/org/apache/hadoop/hbase/client,11.0
mbautin,src/test/java/org/apache/hadoop/hbase/io,27.0
