File,Author,NumCommits
src/main/groovy/inspect/swingui,Danno Ferrin,1.0
src/main/groovy/io,Danno Ferrin,
src/main/groovy/lang,Danno Ferrin,1.0
src/main/groovy/mock,Danno Ferrin,
src/main/groovy/mock/interceptor,Danno Ferrin,
src/main/groovy/model,Danno Ferrin,1.0
src/main/groovy/servlet,Danno Ferrin,
src/main/groovy/sql,Danno Ferrin,
src/main/groovy/swing,Danno Ferrin,8.0
src/main/groovy/swing/binding,Danno Ferrin,1.0
src/main/groovy/swing/factory,Danno Ferrin,10.0
src/main/groovy/swing/impl,Danno Ferrin,2.0
src/main/groovy/text,Danno Ferrin,
src/main/groovy/ui,Danno Ferrin,6.0
src/main/groovy/ui/text,Danno Ferrin,
src/main/groovy/ui/view,Danno Ferrin,3.0
src/main/groovy/util,Danno Ferrin,7.0
src/main/groovy/xml,Danno Ferrin,
src/main/groovy/xml/streamingmarkupsupport,Danno Ferrin,
src/main/org/codehaus/groovy/ant,Danno Ferrin,5.0
src/main/org/codehaus/groovy/antlr,Danno Ferrin,
src/main/org/codehaus/groovy/antlr/java,Danno Ferrin,
src/main/org/codehaus/groovy/ast,Danno Ferrin,
src/main/org/codehaus/groovy/ast/expr,Danno Ferrin,
src/main/org/codehaus/groovy/binding,Danno Ferrin,2.0
src/main/org/codehaus/groovy/classgen,Danno Ferrin,
src/main/org/codehaus/groovy/control,Danno Ferrin,
src/main/org/codehaus/groovy/control/io,Danno Ferrin,
src/main/org/codehaus/groovy/groovydoc,Danno Ferrin,
src/main/org/codehaus/groovy/reflection,Danno Ferrin,1.0
src/main/org/codehaus/groovy/reflection/stdclasses,Danno Ferrin,
src/main/org/codehaus/groovy/runtime,Danno Ferrin,
src/main/org/codehaus/groovy/runtime/callsite,Danno Ferrin,
src/main/org/codehaus/groovy/runtime/dgmimpl,Danno Ferrin,
src/main/org/codehaus/groovy/runtime/dgmimpl/arrays,Danno Ferrin,
src/main/org/codehaus/groovy/runtime/metaclass,Danno Ferrin,
src/main/org/codehaus/groovy/runtime/typehandling,Danno Ferrin,
src/main/org/codehaus/groovy/runtime/wrappers,Danno Ferrin,
src/main/org/codehaus/groovy/syntax,Danno Ferrin,
src/main/org/codehaus/groovy/tools,Danno Ferrin,2.0
src/main/org/codehaus/groovy/tools/groovydoc,Danno Ferrin,
src/main/org/codehaus/groovy/tools/groovydoc/gstring-templates/class-level,Danno Ferrin,
src/main/org/codehaus/groovy/tools/groovydoc/gstring-templates/package-level,Danno Ferrin,
src/main/org/codehaus/groovy/tools/groovydoc/gstring-templates/top-level,Danno Ferrin,
src/main/org/codehaus/groovy/tools/javac,Danno Ferrin,3.0
src/main/org/codehaus/groovy/tools/shell,Danno Ferrin,1.0
src/main/org/codehaus/groovy/tools/shell/util,Danno Ferrin,
src/main/org/codehaus/groovy/transform,Danno Ferrin,3.0
src/main/org/codehaus/groovy/vmplugin,Danno Ferrin,
src/main/org/codehaus/groovy/vmplugin/v4,Danno Ferrin,2.0
src/main/org/codehaus/groovy/vmplugin/v5,Danno Ferrin,2.0
src/tck/src/org/codehaus/groovy/tck,Danno Ferrin,
src/test,Danno Ferrin,
src/test/gls/annotations/vm5,Danno Ferrin,
src/test/gls/enums/vm5,Danno Ferrin,
src/test/gls/generics/vm5,Danno Ferrin,
src/test/gls/invocaton,Danno Ferrin,
src/test/gls/scope,Danno Ferrin,
src/test/groovy,Danno Ferrin,
src/test/groovy/beans/vm5,Danno Ferrin,2.0
src/test/groovy/inspect,Danno Ferrin,
src/test/groovy/lang,Danno Ferrin,1.0
src/test/groovy/mock,Danno Ferrin,
src/test/groovy/operator,Danno Ferrin,
src/test/groovy/script,Danno Ferrin,
src/test/groovy/security,Danno Ferrin,
src/test/groovy/sql,Danno Ferrin,
src/test/groovy/swing,Danno Ferrin,9.0
src/test/groovy/text,Danno Ferrin,
src/test/groovy/util,Danno Ferrin,2.0
src/test/groovy/vm5,Danno Ferrin,
src/test/groovy/xml,Danno Ferrin,
src/test/org/codehaus/groovy/ant,Danno Ferrin,3.0
src/test/org/codehaus/groovy/ast,Danno Ferrin,1.0
src/test/org/codehaus/groovy/benchmarks/alioth,Danno Ferrin,
src/test/org/codehaus/groovy/benchmarks/vm5/b2394,Danno Ferrin,
src/test/org/codehaus/groovy/classgen,Danno Ferrin,
src/test/org/codehaus/groovy/reflection,Danno Ferrin,
src/test/org/codehaus/groovy/runtime,Danno Ferrin,1.0
src/test/org/codehaus/groovy/tools,Danno Ferrin,4.0
src/test/org/codehaus/groovy/tools/groovydoc,Danno Ferrin,
src/test/org/codehaus/groovy/transform/META-INF/services,Danno Ferrin,
src/test/org/codehaus/groovy/transform/vm5,Danno Ferrin,
src/tools/org/codehaus/groovy/tools,Danno Ferrin,
,Paul King,44.0
bootstrap,Paul King,2.0
config/ant,Paul King,6.0
config/maven,Paul King,5.0
experimental/groovy/grape,Paul King,
experimental/groovy/lang,Paul King,1.0
security,Paul King,2.0
src,Paul King,3.0
src/bin,Paul King,16.0
src/examples/groovy/model,Paul King,
src/examples/groovy/swing,Paul King,1.0
src/examples/org/codehaus/groovy/grails/compiler/injection,Paul King,
src/examples/swing,Paul King,
src/examples/swing/binding/caricature,Paul King,
src/examples/swing/binding/caricature/resources,Paul King,
src/examples/swing/greet,Paul King,
src/main/groovy/inspect,Paul King,
src/main/groovy/inspect/swingui,Paul King,1.0
src/main/groovy/io,Paul King,1.0
src/main/groovy/lang,Paul King,15.0
src/main/groovy/mock,Paul King,2.0
src/main/groovy/mock/interceptor,Paul King,1.0
src/main/groovy/model,Paul King,
src/main/groovy/servlet,Paul King,2.0
src/main/groovy/sql,Paul King,9.0
src/main/groovy/swing,Paul King,
src/main/groovy/swing/binding,Paul King,
src/main/groovy/swing/factory,Paul King,
src/main/groovy/swing/impl,Paul King,
src/main/groovy/text,Paul King,7.0
src/main/groovy/ui,Paul King,4.0
src/main/groovy/ui/text,Paul King,1.0
src/main/groovy/ui/view,Paul King,
src/main/groovy/util,Paul King,16.0
src/main/groovy/xml,Paul King,4.0
src/main/groovy/xml/streamingmarkupsupport,Paul King,1.0
src/main/org/codehaus/groovy/ant,Paul King,4.0
src/main/org/codehaus/groovy/antlr,Paul King,15.0
src/main/org/codehaus/groovy/antlr/java,Paul King,
src/main/org/codehaus/groovy/ast,Paul King,1.0
src/main/org/codehaus/groovy/ast/expr,Paul King,1.0
src/main/org/codehaus/groovy/binding,Paul King,1.0
src/main/org/codehaus/groovy/classgen,Paul King,13.0
src/main/org/codehaus/groovy/control,Paul King,5.0
src/main/org/codehaus/groovy/control/io,Paul King,
src/main/org/codehaus/groovy/groovydoc,Paul King,
src/main/org/codehaus/groovy/reflection,Paul King,
src/main/org/codehaus/groovy/reflection/stdclasses,Paul King,1.0
src/main/org/codehaus/groovy/runtime,Paul King,70.0
src/main/org/codehaus/groovy/runtime/callsite,Paul King,
src/main/org/codehaus/groovy/runtime/dgmimpl,Paul King,
src/main/org/codehaus/groovy/runtime/dgmimpl/arrays,Paul King,1.0
src/main/org/codehaus/groovy/runtime/metaclass,Paul King,
src/main/org/codehaus/groovy/runtime/typehandling,Paul King,7.0
src/main/org/codehaus/groovy/runtime/wrappers,Paul King,1.0
src/main/org/codehaus/groovy/syntax,Paul King,1.0
src/main/org/codehaus/groovy/tools,Paul King,2.0
src/main/org/codehaus/groovy/tools/groovydoc,Paul King,2.0
src/main/org/codehaus/groovy/tools/groovydoc/gstring-templates/class-level,Paul King,1.0
src/main/org/codehaus/groovy/tools/groovydoc/gstring-templates/package-level,Paul King,
src/main/org/codehaus/groovy/tools/groovydoc/gstring-templates/top-level,Paul King,
src/main/org/codehaus/groovy/tools/javac,Paul King,
src/main/org/codehaus/groovy/tools/shell,Paul King,4.0
src/main/org/codehaus/groovy/tools/shell/util,Paul King,1.0
src/main/org/codehaus/groovy/transform,Paul King,
src/main/org/codehaus/groovy/vmplugin,Paul King,
src/main/org/codehaus/groovy/vmplugin/v4,Paul King,
src/main/org/codehaus/groovy/vmplugin/v5,Paul King,4.0
src/tck/src/org/codehaus/groovy/tck,Paul King,1.0
src/test,Paul King,19.0
src/test/gls/annotations/vm5,Paul King,1.0
src/test/gls/enums/vm5,Paul King,4.0
src/test/gls/generics/vm5,Paul King,
src/test/gls/invocaton,Paul King,1.0
src/test/gls/scope,Paul King,1.0
src/test/groovy,Paul King,10.0
src/test/groovy/beans/vm5,Paul King,
src/test/groovy/inspect,Paul King,3.0
src/test/groovy/lang,Paul King,3.0
src/test/groovy/mock,Paul King,1.0
src/test/groovy/operator,Paul King,1.0
src/test/groovy/script,Paul King,1.0
src/test/groovy/security,Paul King,1.0
src/test/groovy/sql,Paul King,3.0
src/test/groovy/swing,Paul King,7.0
src/test/groovy/text,Paul King,1.0
src/test/groovy/util,Paul King,13.0
src/test/groovy/vm5,Paul King,6.0
src/test/groovy/xml,Paul King,7.0
src/test/org/codehaus/groovy/ant,Paul King,3.0
src/test/org/codehaus/groovy/ast,Paul King,
src/test/org/codehaus/groovy/benchmarks/alioth,Paul King,
src/test/org/codehaus/groovy/benchmarks/vm5/b2394,Paul King,
src/test/org/codehaus/groovy/classgen,Paul King,4.0
src/test/org/codehaus/groovy/reflection,Paul King,
src/test/org/codehaus/groovy/runtime,Paul King,4.0
src/test/org/codehaus/groovy/tools,Paul King,
src/test/org/codehaus/groovy/tools/groovydoc,Paul King,1.0
src/test/org/codehaus/groovy/transform/META-INF/services,Paul King,1.0
src/test/org/codehaus/groovy/transform/vm5,Paul King,2.0
src/tools/org/codehaus/groovy/tools,Paul King,7.0
,Alex Tkachman,27.0
bootstrap,Alex Tkachman,
config/ant,Alex Tkachman,
config/maven,Alex Tkachman,
experimental/groovy/grape,Alex Tkachman,
experimental/groovy/lang,Alex Tkachman,
security,Alex Tkachman,
src,Alex Tkachman,
src/bin,Alex Tkachman,
src/examples/groovy/model,Alex Tkachman,
src/examples/groovy/swing,Alex Tkachman,
src/examples/org/codehaus/groovy/grails/compiler/injection,Alex Tkachman,
src/examples/swing,Alex Tkachman,
src/examples/swing/binding/caricature,Alex Tkachman,
src/examples/swing/binding/caricature/resources,Alex Tkachman,
src/examples/swing/greet,Alex Tkachman,
src/main/groovy/inspect,Alex Tkachman,1.0
src/main/groovy/inspect/swingui,Alex Tkachman,
src/main/groovy/io,Alex Tkachman,
src/main/groovy/lang,Alex Tkachman,25.0
src/main/groovy/mock,Alex Tkachman,
src/main/groovy/mock/interceptor,Alex Tkachman,
src/main/groovy/model,Alex Tkachman,
src/main/groovy/servlet,Alex Tkachman,
src/main/groovy/sql,Alex Tkachman,
src/main/groovy/swing,Alex Tkachman,
src/main/groovy/swing/binding,Alex Tkachman,
src/main/groovy/swing/factory,Alex Tkachman,
src/main/groovy/swing/impl,Alex Tkachman,
src/main/groovy/text,Alex Tkachman,
src/main/groovy/ui,Alex Tkachman,
src/main/groovy/ui/text,Alex Tkachman,
src/main/groovy/ui/view,Alex Tkachman,
src/main/groovy/util,Alex Tkachman,2.0
src/main/groovy/xml,Alex Tkachman,
src/main/groovy/xml/streamingmarkupsupport,Alex Tkachman,
src/main/org/codehaus/groovy/ant,Alex Tkachman,
src/main/org/codehaus/groovy/antlr,Alex Tkachman,1.0
src/main/org/codehaus/groovy/antlr/java,Alex Tkachman,
src/main/org/codehaus/groovy/ast,Alex Tkachman,3.0
src/main/org/codehaus/groovy/ast/expr,Alex Tkachman,1.0
src/main/org/codehaus/groovy/binding,Alex Tkachman,
src/main/org/codehaus/groovy/classgen,Alex Tkachman,27.0
src/main/org/codehaus/groovy/control,Alex Tkachman,1.0
src/main/org/codehaus/groovy/control/io,Alex Tkachman,
src/main/org/codehaus/groovy/groovydoc,Alex Tkachman,
src/main/org/codehaus/groovy/reflection,Alex Tkachman,21.0
src/main/org/codehaus/groovy/reflection/stdclasses,Alex Tkachman,
src/main/org/codehaus/groovy/runtime,Alex Tkachman,20.0
src/main/org/codehaus/groovy/runtime/callsite,Alex Tkachman,18.0
src/main/org/codehaus/groovy/runtime/dgmimpl,Alex Tkachman,5.0
src/main/org/codehaus/groovy/runtime/dgmimpl/arrays,Alex Tkachman,4.0
src/main/org/codehaus/groovy/runtime/metaclass,Alex Tkachman,12.0
src/main/org/codehaus/groovy/runtime/typehandling,Alex Tkachman,5.0
src/main/org/codehaus/groovy/runtime/wrappers,Alex Tkachman,
src/main/org/codehaus/groovy/syntax,Alex Tkachman,
src/main/org/codehaus/groovy/tools,Alex Tkachman,3.0
src/main/org/codehaus/groovy/tools/groovydoc,Alex Tkachman,
src/main/org/codehaus/groovy/tools/groovydoc/gstring-templates/class-level,Alex Tkachman,
src/main/org/codehaus/groovy/tools/groovydoc/gstring-templates/package-level,Alex Tkachman,
src/main/org/codehaus/groovy/tools/groovydoc/gstring-templates/top-level,Alex Tkachman,
src/main/org/codehaus/groovy/tools/javac,Alex Tkachman,
src/main/org/codehaus/groovy/tools/shell,Alex Tkachman,
src/main/org/codehaus/groovy/tools/shell/util,Alex Tkachman,
src/main/org/codehaus/groovy/transform,Alex Tkachman,2.0
src/main/org/codehaus/groovy/vmplugin,Alex Tkachman,
src/main/org/codehaus/groovy/vmplugin/v4,Alex Tkachman,
src/main/org/codehaus/groovy/vmplugin/v5,Alex Tkachman,
src/tck/src/org/codehaus/groovy/tck,Alex Tkachman,
src/test,Alex Tkachman,
src/test/gls/annotations/vm5,Alex Tkachman,
src/test/gls/enums/vm5,Alex Tkachman,
src/test/gls/generics/vm5,Alex Tkachman,2.0
src/test/gls/invocaton,Alex Tkachman,
src/test/gls/scope,Alex Tkachman,
src/test/groovy,Alex Tkachman,
src/test/groovy/beans/vm5,Alex Tkachman,
src/test/groovy/inspect,Alex Tkachman,
src/test/groovy/lang,Alex Tkachman,2.0
src/test/groovy/mock,Alex Tkachman,
src/test/groovy/operator,Alex Tkachman,
src/test/groovy/script,Alex Tkachman,
src/test/groovy/security,Alex Tkachman,
src/test/groovy/sql,Alex Tkachman,1.0
src/test/groovy/swing,Alex Tkachman,
src/test/groovy/text,Alex Tkachman,
src/test/groovy/util,Alex Tkachman,2.0
src/test/groovy/vm5,Alex Tkachman,
src/test/groovy/xml,Alex Tkachman,
src/test/org/codehaus/groovy/ant,Alex Tkachman,
src/test/org/codehaus/groovy/ast,Alex Tkachman,
src/test/org/codehaus/groovy/benchmarks/alioth,Alex Tkachman,9.0
src/test/org/codehaus/groovy/benchmarks/vm5/b2394,Alex Tkachman,2.0
src/test/org/codehaus/groovy/classgen,Alex Tkachman,12.0
src/test/org/codehaus/groovy/reflection,Alex Tkachman,2.0
src/test/org/codehaus/groovy/runtime,Alex Tkachman,1.0
src/test/org/codehaus/groovy/tools,Alex Tkachman,
src/test/org/codehaus/groovy/tools/groovydoc,Alex Tkachman,
src/test/org/codehaus/groovy/transform/META-INF/services,Alex Tkachman,
src/test/org/codehaus/groovy/transform/vm5,Alex Tkachman,
src/tools/org/codehaus/groovy/tools,Alex Tkachman,
,Martin Kempf,4.0
bootstrap,Martin Kempf,
config/ant,Martin Kempf,
config/maven,Martin Kempf,
experimental/groovy/grape,Martin Kempf,
experimental/groovy/lang,Martin Kempf,
security,Martin Kempf,
src,Martin Kempf,
src/bin,Martin Kempf,
src/examples/groovy/model,Martin Kempf,
src/examples/groovy/swing,Martin Kempf,
src/examples/org/codehaus/groovy/grails/compiler/injection,Martin Kempf,
src/examples/swing,Martin Kempf,
src/examples/swing/binding/caricature,Martin Kempf,
src/examples/swing/binding/caricature/resources,Martin Kempf,
src/examples/swing/greet,Martin Kempf,
src/main/groovy/inspect,Martin Kempf,
src/main/groovy/inspect/swingui,Martin Kempf,
src/main/groovy/io,Martin Kempf,
src/main/groovy/lang,Martin Kempf,
src/main/groovy/mock,Martin Kempf,
src/main/groovy/mock/interceptor,Martin Kempf,
src/main/groovy/model,Martin Kempf,
src/main/groovy/servlet,Martin Kempf,
src/main/groovy/sql,Martin Kempf,
src/main/groovy/swing,Martin Kempf,
src/main/groovy/swing/binding,Martin Kempf,
src/main/groovy/swing/factory,Martin Kempf,
src/main/groovy/swing/impl,Martin Kempf,
src/main/groovy/text,Martin Kempf,
src/main/groovy/ui,Martin Kempf,
src/main/groovy/ui/text,Martin Kempf,
src/main/groovy/ui/view,Martin Kempf,
src/main/groovy/util,Martin Kempf,
src/main/groovy/xml,Martin Kempf,
src/main/groovy/xml/streamingmarkupsupport,Martin Kempf,
src/main/org/codehaus/groovy/ant,Martin Kempf,
src/main/org/codehaus/groovy/antlr,Martin Kempf,4.0
src/main/org/codehaus/groovy/antlr/java,Martin Kempf,
src/main/org/codehaus/groovy/ast,Martin Kempf,
src/main/org/codehaus/groovy/ast/expr,Martin Kempf,2.0
src/main/org/codehaus/groovy/binding,Martin Kempf,
src/main/org/codehaus/groovy/classgen,Martin Kempf,
src/main/org/codehaus/groovy/control,Martin Kempf,
src/main/org/codehaus/groovy/control/io,Martin Kempf,
src/main/org/codehaus/groovy/groovydoc,Martin Kempf,
src/main/org/codehaus/groovy/reflection,Martin Kempf,
src/main/org/codehaus/groovy/reflection/stdclasses,Martin Kempf,
src/main/org/codehaus/groovy/runtime,Martin Kempf,
src/main/org/codehaus/groovy/runtime/callsite,Martin Kempf,
src/main/org/codehaus/groovy/runtime/dgmimpl,Martin Kempf,
src/main/org/codehaus/groovy/runtime/dgmimpl/arrays,Martin Kempf,
src/main/org/codehaus/groovy/runtime/metaclass,Martin Kempf,
src/main/org/codehaus/groovy/runtime/typehandling,Martin Kempf,
src/main/org/codehaus/groovy/runtime/wrappers,Martin Kempf,
src/main/org/codehaus/groovy/syntax,Martin Kempf,
src/main/org/codehaus/groovy/tools,Martin Kempf,
src/main/org/codehaus/groovy/tools/groovydoc,Martin Kempf,
src/main/org/codehaus/groovy/tools/groovydoc/gstring-templates/class-level,Martin Kempf,
src/main/org/codehaus/groovy/tools/groovydoc/gstring-templates/package-level,Martin Kempf,
src/main/org/codehaus/groovy/tools/groovydoc/gstring-templates/top-level,Martin Kempf,
src/main/org/codehaus/groovy/tools/javac,Martin Kempf,
src/main/org/codehaus/groovy/tools/shell,Martin Kempf,
src/main/org/codehaus/groovy/tools/shell/util,Martin Kempf,
src/main/org/codehaus/groovy/transform,Martin Kempf,
src/main/org/codehaus/groovy/vmplugin,Martin Kempf,
src/main/org/codehaus/groovy/vmplugin/v4,Martin Kempf,
src/main/org/codehaus/groovy/vmplugin/v5,Martin Kempf,
src/tck/src/org/codehaus/groovy/tck,Martin Kempf,
src/test,Martin Kempf,3.0
src/test/gls/annotations/vm5,Martin Kempf,
src/test/gls/enums/vm5,Martin Kempf,
src/test/gls/generics/vm5,Martin Kempf,
src/test/gls/invocaton,Martin Kempf,
src/test/gls/scope,Martin Kempf,
src/test/groovy,Martin Kempf,
src/test/groovy/beans/vm5,Martin Kempf,
src/test/groovy/inspect,Martin Kempf,
src/test/groovy/lang,Martin Kempf,
src/test/groovy/mock,Martin Kempf,
src/test/groovy/operator,Martin Kempf,
src/test/groovy/script,Martin Kempf,
src/test/groovy/security,Martin Kempf,
src/test/groovy/sql,Martin Kempf,
src/test/groovy/swing,Martin Kempf,
src/test/groovy/text,Martin Kempf,
src/test/groovy/util,Martin Kempf,
src/test/groovy/vm5,Martin Kempf,
src/test/groovy/xml,Martin Kempf,
src/test/org/codehaus/groovy/ant,Martin Kempf,
src/test/org/codehaus/groovy/ast,Martin Kempf,2.0
src/test/org/codehaus/groovy/benchmarks/alioth,Martin Kempf,
src/test/org/codehaus/groovy/benchmarks/vm5/b2394,Martin Kempf,
src/test/org/codehaus/groovy/classgen,Martin Kempf,
src/test/org/codehaus/groovy/reflection,Martin Kempf,
src/test/org/codehaus/groovy/runtime,Martin Kempf,
src/test/org/codehaus/groovy/tools,Martin Kempf,
src/test/org/codehaus/groovy/tools/groovydoc,Martin Kempf,
src/test/org/codehaus/groovy/transform/META-INF/services,Martin Kempf,
src/test/org/codehaus/groovy/transform/vm5,Martin Kempf,
src/tools/org/codehaus/groovy/tools,Martin Kempf,
,Martin C. Martin,1.0
bootstrap,Martin C. Martin,
config/ant,Martin C. Martin,
config/maven,Martin C. Martin,
experimental/groovy/grape,Martin C. Martin,
experimental/groovy/lang,Martin C. Martin,
security,Martin C. Martin,
src,Martin C. Martin,
src/bin,Martin C. Martin,
src/examples/groovy/model,Martin C. Martin,
src/examples/groovy/swing,Martin C. Martin,
src/examples/org/codehaus/groovy/grails/compiler/injection,Martin C. Martin,
src/examples/swing,Martin C. Martin,
src/examples/swing/binding/caricature,Martin C. Martin,
src/examples/swing/binding/caricature/resources,Martin C. Martin,
src/examples/swing/greet,Martin C. Martin,
src/main/groovy/inspect,Martin C. Martin,
src/main/groovy/inspect/swingui,Martin C. Martin,
src/main/groovy/io,Martin C. Martin,
src/main/groovy/lang,Martin C. Martin,1.0
src/main/groovy/mock,Martin C. Martin,
src/main/groovy/mock/interceptor,Martin C. Martin,
src/main/groovy/model,Martin C. Martin,
src/main/groovy/servlet,Martin C. Martin,
src/main/groovy/sql,Martin C. Martin,
src/main/groovy/swing,Martin C. Martin,
src/main/groovy/swing/binding,Martin C. Martin,
src/main/groovy/swing/factory,Martin C. Martin,
src/main/groovy/swing/impl,Martin C. Martin,
src/main/groovy/text,Martin C. Martin,
src/main/groovy/ui,Martin C. Martin,
src/main/groovy/ui/text,Martin C. Martin,
src/main/groovy/ui/view,Martin C. Martin,
src/main/groovy/util,Martin C. Martin,
src/main/groovy/xml,Martin C. Martin,
