Author,File,NumLines
Jeremy Rayner,src/test/groovy/lang,1.0
Jochen Theodorou,src/test/groovy/inspect,7.0
Jochen Theodorou,src/test/groovy/security,9.0
Jochen Theodorou,src/test/groovy/vm5,19.0
Martin C. Martin,src/test/groovy/inspect,2.0
Paul King,src/test/groovy/bugs,38.0
Paul King,src/test/groovy/inspect,136.0
Paul King,src/test/groovy/io,26.0
Paul King,src/test/groovy/lang,1762.0
Paul King,src/test/groovy/mock/interceptor,9.0
Paul King,src/test/groovy/security,323.0
Paul King,src/test/groovy/servlet,3.0
Paul King,src/test/groovy/txn,8.0
Paul King,src/test/groovy/util,97.0
Pilho Kim,src/test/groovy/lang,57.0
Russel Winder,src/test/groovy/bugs,7.0
Sam Pullara,src/test/groovy/lang,45.0
Steve Goetze,src/test/groovy/lang,12.0
Steve Goetze,src/test/groovy/security,4.0
Alex Tkachman,src/main/org/codehaus/groovy/ast,88.0
Alexandru Popescu,src/main/org/codehaus/groovy/ast,109.0
Bing Ran,src/main/org/codehaus/groovy/ast,12.0
Boc McWhirter,src/main/org/codehaus/groovy/ast,13.0
Chris Poirier,src/main/org/codehaus/groovy,28.0
Chris Poirier,src/main/org/codehaus/groovy/ast,27.0
Guillaume Laforge,src/main/org/codehaus/groovy,40.0
Guillaume Laforge,src/main/org/codehaus/groovy/ast,288.0
Guillaume Laforge,src/main/org/codehaus/groovy/bsf,28.0
Guillaume Laforge,src/main/org/codehaus/groovy/groovydoc,100.0
James Strachan,src/examples/groovy/j2ee,101.0
James Strachan,src/examples/groovy/swing,168.0
James Strachan,src/main/org/codehaus/groovy,42.0
James Strachan,src/main/org/codehaus/groovy/ast,1496.0
James Strachan,src/main/org/codehaus/groovy/bsf,197.0
Jason Dillon,src/main/org/codehaus/groovy/ast,13.0
Jeremy Rayner,src/main/org/codehaus/groovy/ast,19.0
Jeremy Rayner,src/main/org/codehaus/groovy/groovydoc,171.0
Jochen Theodorou,src/main/org/codehaus/groovy,67.0
Jochen Theodorou,src/main/org/codehaus/groovy/ast,1868.0
Jochen Theodorou,src/main/org/codehaus/groovy/bsf,1.0
Jochen Theodorou,src/test/gls/generics/vm5,89.0
John Wilson,src/test/gls/ch06/s05,30.0
John Wilson,src/test/gls/ch06/s05/testClasses,182.0
Marc Guillemot,src/main/org/codehaus/groovy,1.0
Marc Guillemot,src/main/org/codehaus/groovy/ast,2.0
Martin C. Martin,src/main/org/codehaus/groovy/ast,1.0
Martin Kempf,src/main/org/codehaus/groovy/ast,24.0
Paul King,src/examples/groovy/j2ee,5.0
Paul King,src/examples/groovy/swing,22.0
Paul King,src/main/org/codehaus/groovy,7.0
Paul King,src/main/org/codehaus/groovy/ast,232.0
Paul King,src/main/org/codehaus/groovy/bsf,18.0
Paul King,src/main/org/codehaus/groovy/groovydoc,136.0
Paul King,src/test/gls/ch06/s05,261.0
Paul King,src/test/gls/ch06/s05/testClasses,118.0
Pilho Kim,src/examples/groovy/j2ee,1.0
Pilho Kim,src/main/org/codehaus/groovy/ast,24.0
Russel Winder,src/main/org/codehaus/groovy/ast,17.0
Sam Pullara,src/main/org/codehaus/groovy/ast,40.0
Sam Pullara,src/main/org/codehaus/groovy/bsf,30.0
Alan Green,src/main/org/codehaus/groovy/runtime,16.0
Alex Tkachman,src/main/org/codehaus/groovy/antlr,6.0
Alex Tkachman,src/main/org/codehaus/groovy/ast/expr,18.0
Alex Tkachman,src/main/org/codehaus/groovy/runtime,385.0
Alex Tkachman,src/main/org/codehaus/groovy/runtime/metaclass,1031.0
Alex Tkachman,src/main/org/codehaus/groovy/runtime/typehandling,15.0
Alexandru Popescu,src/main/org/codehaus/groovy/antlr,4.0
Alexandru Popescu,src/main/org/codehaus/groovy/ast/expr,32.0
Alexandru Popescu,src/main/org/codehaus/groovy/runtime,4.0
Bing Ran,src/main/org/codehaus/groovy/ast/expr,117.0
Bing Ran,src/main/org/codehaus/groovy/ast/stmt,4.0
Bing Ran,src/main/org/codehaus/groovy/runtime,52.0
Bing Ran,src/main/org/codehaus/groovy/runtime/metaclass,29.0
Boc McWhirter,src/main/org/codehaus/groovy/ast/expr,3.0
Chris Poirier,src/main/org/codehaus/groovy/ast/expr,31.0
Christian Stein,src/main/org/codehaus/groovy/antlr,15.0
Christian Stein,src/main/org/codehaus/groovy/antlr/treewalker,3.0
Christian Stein,src/main/org/codehaus/groovy/ast/expr,1.0
Christian Stein,src/main/org/codehaus/groovy/runtime,12.0
Danno Ferrin,src/main/org/codehaus/groovy/runtime,153.0
Dierk Koenig,src/main/org/codehaus/groovy/runtime,171.0
Franck Rasolo,src/main/org/codehaus/groovy/antlr,9.0
Graeme Rocher,src/main/org/codehaus/groovy/runtime,39.0
Graeme Rocher,src/main/org/codehaus/groovy/runtime/metaclass,239.0
Graeme Rocher,src/main/org/codehaus/groovy/runtime/typehandling,1.0
Guillaume Alleon,src/main/org/codehaus/groovy/runtime,114.0
Guillaume Laforge,src/main/org/codehaus/groovy/antlr,83.0
Guillaume Laforge,src/main/org/codehaus/groovy/antlr/java,52.0
Guillaume Laforge,src/main/org/codehaus/groovy/antlr/treewalker,45.0
Guillaume Laforge,src/main/org/codehaus/groovy/ast/expr,484.0
Guillaume Laforge,src/main/org/codehaus/groovy/ast/stmt,234.0
Guillaume Laforge,src/main/org/codehaus/groovy/runtime,1647.0
Guillaume Laforge,src/main/org/codehaus/groovy/runtime/metaclass,127.0
Guillaume Laforge,src/main/org/codehaus/groovy/runtime/typehandling,144.0
Guillaume Laforge,src/main/org/codehaus/groovy/runtime/wrappers,11.0
Hein Meling,src/main/org/codehaus/groovy/runtime,7.0
James Strachan,src/main/org/codehaus/groovy/antlr,84.0
James Strachan,src/main/org/codehaus/groovy/ast/expr,1365.0
James Strachan,src/main/org/codehaus/groovy/ast/stmt,737.0
James Strachan,src/main/org/codehaus/groovy/runtime,2142.0
James Strachan,src/main/org/codehaus/groovy/runtime/metaclass,148.0
James Strachan,src/main/org/codehaus/groovy/runtime/typehandling,389.0
Jason Dillon,src/main/org/codehaus/groovy/runtime,1.0
Jeff Brown,src/main/org/codehaus/groovy/runtime,73.0
Jeremy Rayner,src/main/org/codehaus/groovy/antlr,2507.0
Jeremy Rayner,src/main/org/codehaus/groovy/antlr/java,599.0
Jeremy Rayner,src/main/org/codehaus/groovy/antlr/treewalker,4273.0
