Author,File,NumLines
Aaron Mulder,tests/camel-itest-osgi/src/test/java/org/apache/camel/itest/osgi/script,38.0
Akitoshi Yoshida,tests/camel-blueprint-cxf-test/src/test/java/org/apache/camel/test/cxf/blueprint,77.0
Babak Vahdat,tests/camel-itest-cdi/src/main/java/org/apache/camel/itest/cdi,32.0
Babak Vahdat,tests/camel-itest-cdi/src/test/java/org/apache/camel/itest/cdi,1.0
Babak Vahdat,tests/camel-itest-osgi/src/test/java/org/apache/camel/dataformat/protobuf/generated,2.0
Babak Vahdat,tests/camel-itest-osgi/src/test/java/org/apache/camel/itest/osgi,3.0
Babak Vahdat,tests/camel-itest-osgi/src/test/java/org/apache/camel/itest/osgi/blueprint,9.0
Babak Vahdat,tests/camel-itest-osgi/src/test/java/org/apache/camel/itest/osgi/core/dataformat,1.0
Babak Vahdat,tests/camel-itest-osgi/src/test/java/org/apache/camel/itest/osgi/hazelcast,3.0
Babak Vahdat,tests/camel-itest-osgi/src/test/java/org/apache/camel/itest/osgi/hdfs,4.0
Babak Vahdat,tests/camel-itest-osgi/src/test/java/org/apache/camel/itest/osgi/http,2.0
Babak Vahdat,tests/camel-itest-osgi/src/test/java/org/apache/camel/itest/osgi/krati,2.0
Babak Vahdat,tests/camel-itest-osgi/src/test/java/org/apache/camel/itest/osgi/mail,2.0
Babak Vahdat,tests/camel-itest-osgi/src/test/java/org/apache/camel/itest/osgi/restlet/example,6.0
Babak Vahdat,tests/camel-itest-osgi/src/test/java/org/apache/camel/itest/osgi/util/jsse,1.0
Babak Vahdat,tests/camel-itest-osgi/src/test/java/org/apache/camel/itest/osgi/zookeeper,21.0
Babak Vahdat,tests/camel-itest-performance/src/main/java/org/apache/camel/tests/component,7.0
Babak Vahdat,tests/camel-itest/src/test/java/org/apache/camel/itest/async,5.0
Babak Vahdat,tests/camel-itest/src/test/java/org/apache/camel/itest/jetty,2.0
Babak Vahdat,tests/camel-itest/src/test/java/org/apache/camel/itest/quartz,1.0
Babak Vahdat,tests/camel-itest/src/test/java/org/apache/camel/itest/restlet/example,5.0
Babak Vahdat,tests/camel-itest/src/test/java/org/apache/camel/itest/tx,4.0
Babak Vahdat,tests/camel-performance/src/test/java/org/apache/camel/test/perf,44.0
Christian Mueller,tests/camel-itest-osgi/src/test/java/org/apache/camel/itest/osgi,2.0
Christian Mueller,tests/camel-itest-osgi/src/test/java/org/apache/camel/itest/osgi/aws,1929.0
Christian Mueller,tests/camel-itest-osgi/src/test/java/org/apache/camel/itest/osgi/core/vm,60.0
Christian Mueller,tests/camel-itest-osgi/src/test/java/org/apache/camel/itest/osgi/ftp,2.0
Christian Mueller,tests/camel-itest-osgi/src/test/java/org/apache/camel/itest/osgi/jms,1.0
Christian Mueller,tests/camel-itest-osgi/src/test/java/org/apache/camel/itest/osgi/servlet/support,2.0
Christian Mueller,tests/camel-itest-osgi/src/test/java/org/apache/camel/itest/osgi/zookeeper,4.0
Christian Mueller,tests/camel-performance/src/test/java/org/apache/camel/test/perf,560.0
Christian Mueller,tests/camel-performance/src/test/java/org/apache/camel/test/perf/esb,498.0
Christian Schneider,tests/camel-itest-osgi/src/test/java/org/apache/camel/itest/osgi/cxf/jaxrs/testbean,47.0
Christian Schneider,tests/camel-itest-osgi/src/test/java/org/apache/camel/itest/osgi/hazelcast,64.0
Christian Schneider,tests/camel-itest-osgi/src/test/java/org/apache/camel/itest/osgi/jpa,4.0
Christian Schneider,tests/camel-itest-osgi/src/test/java/org/apache/camel/itest/osgi/servlet,4.0
Claus Ibsen,tests/camel-itest-cdi/src/main/java/org/apache/camel/itest/cdi,1.0
Claus Ibsen,tests/camel-itest-cdi/src/test/java/org/apache/camel/itest/cdi,12.0
Claus Ibsen,tests/camel-itest-osgi/src/test/java/org/apache/camel/dataformat/protobuf/generated,361.0
Claus Ibsen,tests/camel-itest-osgi/src/test/java/org/apache/camel/itest/osgi,34.0
Claus Ibsen,tests/camel-itest-osgi/src/test/java/org/apache/camel/itest/osgi/ahc,70.0
Claus Ibsen,tests/camel-itest-osgi/src/test/java/org/apache/camel/itest/osgi/aws,2.0
Claus Ibsen,tests/camel-itest-osgi/src/test/java/org/apache/camel/itest/osgi/beanio,230.0
Claus Ibsen,tests/camel-itest-osgi/src/test/java/org/apache/camel/itest/osgi/bindy,496.0
Claus Ibsen,tests/camel-itest-osgi/src/test/java/org/apache/camel/itest/osgi/blueprint,1326.0
Claus Ibsen,tests/camel-itest-osgi/src/test/java/org/apache/camel/itest/osgi/cache,174.0
Claus Ibsen,tests/camel-itest-osgi/src/test/java/org/apache/camel/itest/osgi/cache/replication,8.0
Claus Ibsen,tests/camel-itest-osgi/src/test/java/org/apache/camel/itest/osgi/core,3.0
Claus Ibsen,tests/camel-itest-osgi/src/test/java/org/apache/camel/itest/osgi/core/bean,114.0
Claus Ibsen,tests/camel-itest-osgi/src/test/java/org/apache/camel/itest/osgi/core/browse,54.0
Claus Ibsen,tests/camel-itest-osgi/src/test/java/org/apache/camel/itest/osgi/core/clazz,47.0
Claus Ibsen,tests/camel-itest-osgi/src/test/java/org/apache/camel/itest/osgi/core/dataformat,103.0
Claus Ibsen,tests/camel-itest-osgi/src/test/java/org/apache/camel/itest/osgi/core/dataset,59.0
Claus Ibsen,tests/camel-itest-osgi/src/test/java/org/apache/camel/itest/osgi/core/direct,12.0
Claus Ibsen,tests/camel-itest-osgi/src/test/java/org/apache/camel/itest/osgi/core/file,124.0
Claus Ibsen,tests/camel-itest-osgi/src/test/java/org/apache/camel/itest/osgi/core/language,95.0
Claus Ibsen,tests/camel-itest-osgi/src/test/java/org/apache/camel/itest/osgi/core/log,57.0
Claus Ibsen,tests/camel-itest-osgi/src/test/java/org/apache/camel/itest/osgi/core/management,7.0
Claus Ibsen,tests/camel-itest-osgi/src/test/java/org/apache/camel/itest/osgi/core/mock,54.0
Claus Ibsen,tests/camel-itest-osgi/src/test/java/org/apache/camel/itest/osgi/core/packages,4.0
Claus Ibsen,tests/camel-itest-osgi/src/test/java/org/apache/camel/itest/osgi/core/properties,51.0
Claus Ibsen,tests/camel-itest-osgi/src/test/java/org/apache/camel/itest/osgi/core/ref,64.0
Claus Ibsen,tests/camel-itest-osgi/src/test/java/org/apache/camel/itest/osgi/core/seda,13.0
Claus Ibsen,tests/camel-itest-osgi/src/test/java/org/apache/camel/itest/osgi/core/timer,52.0
Claus Ibsen,tests/camel-itest-osgi/src/test/java/org/apache/camel/itest/osgi/core/validator,71.0
Claus Ibsen,tests/camel-itest-osgi/src/test/java/org/apache/camel/itest/osgi/core/xslt,54.0
Claus Ibsen,tests/camel-itest-osgi/src/test/java/org/apache/camel/itest/osgi/cxf,188.0
Claus Ibsen,tests/camel-itest-osgi/src/test/java/org/apache/camel/itest/osgi/cxf/blueprint,10.0
Claus Ibsen,tests/camel-itest-osgi/src/test/java/org/apache/camel/itest/osgi/dozer,67.0
Claus Ibsen,tests/camel-itest-osgi/src/test/java/org/apache/camel/itest/osgi/dozer/model,104.0
Claus Ibsen,tests/camel-itest-osgi/src/test/java/org/apache/camel/itest/osgi/dozer/service,61.0
Claus Ibsen,tests/camel-itest-osgi/src/test/java/org/apache/camel/itest/osgi/exec,54.0
Claus Ibsen,tests/camel-itest-osgi/src/test/java/org/apache/camel/itest/osgi/freemarker,113.0
Claus Ibsen,tests/camel-itest-osgi/src/test/java/org/apache/camel/itest/osgi/ftp,211.0
Claus Ibsen,tests/camel-itest-osgi/src/test/java/org/apache/camel/itest/osgi/groovy,3.0
Claus Ibsen,tests/camel-itest-osgi/src/test/java/org/apache/camel/itest/osgi/hawtdb,93.0
Claus Ibsen,tests/camel-itest-osgi/src/test/java/org/apache/camel/itest/osgi/hazelcast,132.0
Claus Ibsen,tests/camel-itest-osgi/src/test/java/org/apache/camel/itest/osgi/hdfs,10.0
Claus Ibsen,tests/camel-itest-osgi/src/test/java/org/apache/camel/itest/osgi/hl7,220.0
Claus Ibsen,tests/camel-itest-osgi/src/test/java/org/apache/camel/itest/osgi/http,69.0
Claus Ibsen,tests/camel-itest-osgi/src/test/java/org/apache/camel/itest/osgi/http4,69.0
Claus Ibsen,tests/camel-itest-osgi/src/test/java/org/apache/camel/itest/osgi/jasypt,65.0
Claus Ibsen,tests/camel-itest-osgi/src/test/java/org/apache/camel/itest/osgi/jaxb,1.0
Claus Ibsen,tests/camel-itest-osgi/src/test/java/org/apache/camel/itest/osgi/jclouds,180.0
Claus Ibsen,tests/camel-itest-osgi/src/test/java/org/apache/camel/itest/osgi/jetty,1.0
Claus Ibsen,tests/camel-itest-osgi/src/test/java/org/apache/camel/itest/osgi/jms,53.0
Claus Ibsen,tests/camel-itest-osgi/src/test/java/org/apache/camel/itest/osgi/jpa,15.0
Claus Ibsen,tests/camel-itest-osgi/src/test/java/org/apache/camel/itest/osgi/krati,185.0
Claus Ibsen,tests/camel-itest-osgi/src/test/java/org/apache/camel/itest/osgi/leveldb,101.0
Claus Ibsen,tests/camel-itest-osgi/src/test/java/org/apache/camel/itest/osgi/mail,11.0
Claus Ibsen,tests/camel-itest-osgi/src/test/java/org/apache/camel/itest/osgi/mina,55.0
Claus Ibsen,tests/camel-itest-osgi/src/test/java/org/apache/camel/itest/osgi/mvel,61.0
Claus Ibsen,tests/camel-itest-osgi/src/test/java/org/apache/camel/itest/osgi/mybatis,177.0
Claus Ibsen,tests/camel-itest-osgi/src/test/java/org/apache/camel/itest/osgi/netty,55.0
Claus Ibsen,tests/camel-itest-osgi/src/test/java/org/apache/camel/itest/osgi/protobuf,5.0
Claus Ibsen,tests/camel-itest-osgi/src/test/java/org/apache/camel/itest/osgi/quartz,56.0
