File,Author,ChurnSize
,Ashutosh Chauhan,64157.0
ant/src/org/apache/hadoop/hive/ant,Ashutosh Chauhan,696.0
bin,Ashutosh Chauhan,
bin/ext,Ashutosh Chauhan,
builtins,Ashutosh Chauhan,16.0
cli,Ashutosh Chauhan,
cli/src/java/org/apache/hadoop/hive/cli,Ashutosh Chauhan,33.0
common,Ashutosh Chauhan,16.0
common/src/java/conf,Ashutosh Chauhan,1170.0
common/src/java/org/apache/hadoop/hive/common,Ashutosh Chauhan,1431.0
common/src/java/org/apache/hadoop/hive/conf,Ashutosh Chauhan,35965.0
common/src/test/org/apache/hadoop/hive/conf,Ashutosh Chauhan,35.0
conf,Ashutosh Chauhan,37096.0
contrib,Ashutosh Chauhan,
contrib/src/java/org/apache/hadoop/hive/contrib/genericudf/example,Ashutosh Chauhan,49340.0
contrib/src/java/org/apache/hadoop/hive/contrib/serde2,Ashutosh Chauhan,49340.0
contrib/src/java/org/apache/hadoop/hive/contrib/util/typedbytes,Ashutosh Chauhan,49340.0
contrib/src/java/org/apache/hadoop/hive/metastore/hooks,Ashutosh Chauhan,
contrib/src/java/org/apache/hadoop/hive/ql/hooks,Ashutosh Chauhan,
contrib/src/java/org/apache/hadoop/hive/ql/hooks/conf,Ashutosh Chauhan,
contrib/src/java/org/apache/hadoop/hive/ql/stats,Ashutosh Chauhan,
contrib/src/test/org/apache/hadoop/hive/contrib/mr,Ashutosh Chauhan,696.0
contrib/src/test/org/apache/hadoop/hive/contrib/serde2,Ashutosh Chauhan,49340.0
contrib/src/test/queries/clientnegative,Ashutosh Chauhan,
contrib/src/test/queries/clientpositive,Ashutosh Chauhan,516.0
contrib/src/test/results/clientnegative,Ashutosh Chauhan,31088.0
contrib/src/test/results/clientpositive,Ashutosh Chauhan,31604.0
data/conf,Ashutosh Chauhan,1868.0
data/files,Ashutosh Chauhan,
data/scripts,Ashutosh Chauhan,1170.0
docs,Ashutosh Chauhan,1170.0
eclipse-templates,Ashutosh Chauhan,1170.0
eclipse-templates/.externalToolBuilders,Ashutosh Chauhan,1170.0
eclipse-templates/.settings,Ashutosh Chauhan,1170.0
hbase-handler,Ashutosh Chauhan,24.0
hbase-handler/src/java/org/apache/hadoop/hive/hbase,Ashutosh Chauhan,49557.0
hbase-handler/src/test/org/apache/hadoop/hive/hbase,Ashutosh Chauhan,49340.0
hbase-handler/src/test/queries,Ashutosh Chauhan,65.0
