"File","Author","NumCommits"
"ql/src/java/org/apache/hadoop/hive/ql/security/authorization","Ashutosh Chauhan",1
"ql/src/java/org/apache/hadoop/hive/ql/session","Ashutosh Chauhan",NA
"ql/src/java/org/apache/hadoop/hive/ql/stats/jdbc","Ashutosh Chauhan",2
"ql/src/java/org/apache/hadoop/hive/ql/udf","Ashutosh Chauhan",3
"ql/src/java/org/apache/hadoop/hive/ql/udf/generic","Ashutosh Chauhan",1
"ql/src/test/org/apache/hadoop/hive/ql","Ashutosh Chauhan",3
"ql/src/test/org/apache/hadoop/hive/ql/exec","Ashutosh Chauhan",2
"ql/src/test/org/apache/hadoop/hive/ql/history","Ashutosh Chauhan",NA
"ql/src/test/org/apache/hadoop/hive/ql/hooks","Ashutosh Chauhan",NA
"ql/src/test/org/apache/hadoop/hive/ql/io","Ashutosh Chauhan",2
"ql/src/test/org/apache/hadoop/hive/ql/metadata","Ashutosh Chauhan",1
"ql/src/test/org/apache/hadoop/hive/ql/plan","Ashutosh Chauhan",NA
"ql/src/test/queries/clientnegative","Ashutosh Chauhan",1
"ql/src/test/queries/clientpositive","Ashutosh Chauhan",2
"ql/src/test/queries/negative","Ashutosh Chauhan",NA
"ql/src/test/results/clientnegative","Ashutosh Chauhan",2
"ql/src/test/results/clientpositive","Ashutosh Chauhan",5
"ql/src/test/results/compiler/errors","Ashutosh Chauhan",1
"ql/src/test/results/compiler/plan","Ashutosh Chauhan",NA
"ql/src/test/scripts","Ashutosh Chauhan",1
"ql/src/test/templates","Ashutosh Chauhan",1
"serde/if","Ashutosh Chauhan",1
"serde/if/test","Ashutosh Chauhan",1
"serde/src/gen-java/org/apache/hadoop/hive/serde/test","Ashutosh Chauhan",NA
"serde/src/gen-py","Ashutosh Chauhan",1
"serde/src/gen/thrift/gen-py","Ashutosh Chauhan",1
"serde/src/java/org/apache/hadoop/hive/serde2","Ashutosh Chauhan",NA
"serde/src/java/org/apache/hadoop/hive/serde2/columnar","Ashutosh Chauhan",2
"serde/src/java/org/apache/hadoop/hive/serde2/dynamic_type","Ashutosh Chauhan",1
"serde/src/java/org/apache/hadoop/hive/serde2/io","Ashutosh Chauhan",1
"serde/src/java/org/apache/hadoop/hive/serde2/lazy","Ashutosh Chauhan",2
"serde/src/java/org/apache/hadoop/hive/serde2/lazybinary","Ashutosh Chauhan",2
"serde/src/java/org/apache/hadoop/hive/serde2/lazydio","Ashutosh Chauhan",1
"serde/src/java/org/apache/hadoop/hive/serde2/objectinspector/primitive","Ashutosh Chauhan",1
"serde/src/test/org/apache/hadoop/hive/serde2/objectinspector","Ashutosh Chauhan",1
"service/lib/php/ext/thrift_protocol","Ashutosh Chauhan",1
"service/lib/php/ext/thrift_protocol/tags/1.0.0","Ashutosh Chauhan",1
"service/lib/py/fb303","Ashutosh Chauhan",1
"service/lib/py/thrift/protocol","Ashutosh Chauhan",1
"service/lib/py/thrift/reflection","Ashutosh Chauhan",1
"service/lib/py/thrift/reflection/limited","Ashutosh Chauhan",1
"service/src/gen-py","Ashutosh Chauhan",1
"service/src/gen/thrift/gen-py","Ashutosh Chauhan",1
"service/src/java/org/apache/hadoop/hive/service","Ashutosh Chauhan",1
"service/src/test/php","Ashutosh Chauhan",1
"shims","Ashutosh Chauhan",2
"shims/src/0.20/java/org/apache/hadoop/fs","Ashutosh Chauhan",NA
"shims/src/0.20/java/org/apache/hadoop/hive/shims","Ashutosh Chauhan",2
"shims/src/0.20S/java/org/apache/hadoop/hive/shims","Ashutosh Chauhan",1
"shims/src/0.20S/java/org/apache/hadoop/hive/thrift","Ashutosh Chauhan",1
"shims/src/0.23/java/org/apache/hadoop/hive/shims","Ashutosh Chauhan",NA
"shims/src/0.23/java/org/apache/hadoop/hive/thrift","Ashutosh Chauhan",NA
"shims/src/common-secure/java/org/apache/hadoop/hive/shims","Ashutosh Chauhan",1
"shims/src/common-secure/java/org/apache/hadoop/hive/thrift","Ashutosh Chauhan",3
"shims/src/common/java/org/apache/hadoop/hive/io","Ashutosh Chauhan",1
"shims/src/common/java/org/apache/hadoop/hive/shims","Ashutosh Chauhan",3
"shims/src/common/java/org/apache/hadoop/hive/thrift","Ashutosh Chauhan",1
"shims/src/test/org/apache/hadoop/hive/thrift","Ashutosh Chauhan",3
"testlibs","Ashutosh Chauhan",NA
"testutils","Ashutosh Chauhan",1
"testutils/ptest","Ashutosh Chauhan",NA
"","Namit Jain",27
"bin","Namit Jain",NA
"bin/ext","Namit Jain",NA
"cli","Namit Jain",NA
"cli/src/java/org/apache/hadoop/hive/cli","Namit Jain",3
"common","Namit Jain",NA
"common/src/java/conf","Namit Jain",NA
"common/src/java/org/apache/hadoop/hive/common","Namit Jain",NA
"common/src/java/org/apache/hadoop/hive/common/cli","Namit Jain",NA
"common/src/java/org/apache/hadoop/hive/common/io","Namit Jain",1
"common/src/java/org/apache/hadoop/hive/common/metrics","Namit Jain",NA
"common/src/java/org/apache/hadoop/hive/conf","Namit Jain",6
"common/src/test/org/apache/hadoop/hive/conf","Namit Jain",NA
"common/src/test/resources","Namit Jain",NA
"contrib/src/test/results/clientnegative","Namit Jain",1
"contrib/src/test/results/clientpositive","Namit Jain",1
"data/conf","Namit Jain",NA
"data/scripts","Namit Jain",NA
"data/warehouse/src","Namit Jain",NA
"docs","Namit Jain",NA
"eclipse-templates","Namit Jain",1
"eclipse-templates/.externalToolBuilders","Namit Jain",NA
"eclipse-templates/.settings","Namit Jain",NA
"hbase-handler","Namit Jain",NA
"hbase-handler/src/java/org/apache/hadoop/hive/hbase","Namit Jain",NA
"hbase-handler/src/test/org/apache/hadoop/hive/hbase","Namit Jain",NA
"hbase-handler/src/test/queries","Namit Jain",NA
"hbase-handler/src/test/results","Namit Jain",NA
"hbase-handler/src/test/templates","Namit Jain",NA
"hwi/src/java/org/apache/hadoop/hive/hwi","Namit Jain",NA
"hwi/web","Namit Jain",NA
"hwi/web/img","Namit Jain",NA
"ivy","Namit Jain",NA
"jdbc/src/java/org/apache/hadoop/hive/jdbc","Namit Jain",NA
"jdbc/src/test/org/apache/hadoop/hive/jdbc","Namit Jain",NA
"lib","Namit Jain",NA
"metastore/if","Namit Jain",2
"metastore/scripts","Namit Jain",NA
"metastore/scripts/upgrade","Namit Jain",NA
"metastore/scripts/upgrade/derby","Namit Jain",1
"metastore/scripts/upgrade/mysql","Namit Jain",1
"metastore/src/gen-py","Namit Jain",NA
"metastore/src/gen/thrift/gen-cpp","Namit Jain",2
"metastore/src/gen/thrift/gen-javabean/org/apache/hadoop/hive/metastore/api","Namit Jain",2
"metastore/src/gen/thrift/gen-php","Namit Jain",NA
"metastore/src/gen/thrift/gen-php/hive_metastore","Namit Jain",2
"metastore/src/gen/thrift/gen-py","Namit Jain",NA
"metastore/src/gen/thrift/gen-py/hive_metastore","Namit Jain",2
"metastore/src/gen/thrift/gen-rb","Namit Jain",2
"metastore/src/java/org/apache/hadoop/hive/metastore","Namit Jain",8
"metastore/src/java/org/apache/hadoop/hive/metastore/events","Namit Jain",NA
"metastore/src/java/org/apache/hadoop/hive/metastore/hooks","Namit Jain",NA
"metastore/src/java/org/apache/hadoop/hive/metastore/parser","Namit Jain",NA
"metastore/src/model","Namit Jain",1
"metastore/src/model/org/apache/hadoop/hive/metastore/model","Namit Jain",1
"metastore/src/test/org/apache/hadoop/hive/metastore","Namit Jain",2
"ql","Namit Jain",1
"ql/if","Namit Jain",NA
"ql/src/gen/thrift/gen-py","Namit Jain",NA
"ql/src/java/conf","Namit Jain",NA
"ql/src/java/org/apache/hadoop/hive/ql","Namit Jain",5
"ql/src/java/org/apache/hadoop/hive/ql/exec","Namit Jain",10
"ql/src/java/org/apache/hadoop/hive/ql/exec/errors","Namit Jain",1
"ql/src/java/org/apache/hadoop/hive/ql/exec/persistence","Namit Jain",NA
"ql/src/java/org/apache/hadoop/hive/ql/history","Namit Jain",1
"ql/src/java/org/apache/hadoop/hive/ql/hooks","Namit Jain",NA
"ql/src/java/org/apache/hadoop/hive/ql/index","Namit Jain",1
"ql/src/java/org/apache/hadoop/hive/ql/index/compact","Namit Jain",1
"ql/src/java/org/apache/hadoop/hive/ql/io","Namit Jain",2
"ql/src/java/org/apache/hadoop/hive/ql/io/rcfile/merge","Namit Jain",NA
"ql/src/java/org/apache/hadoop/hive/ql/log","Namit Jain",1
"ql/src/java/org/apache/hadoop/hive/ql/metadata","Namit Jain",3
"ql/src/java/org/apache/hadoop/hive/ql/metadata/formatting","Namit Jain",NA
"ql/src/java/org/apache/hadoop/hive/ql/optimizer","Namit Jain",6
"ql/src/java/org/apache/hadoop/hive/ql/optimizer/index","Namit Jain",NA
"ql/src/java/org/apache/hadoop/hive/ql/optimizer/lineage","Namit Jain",NA
"ql/src/java/org/apache/hadoop/hive/ql/optimizer/physical","Namit Jain",NA
"ql/src/java/org/apache/hadoop/hive/ql/optimizer/unionproc","Namit Jain",2
"ql/src/java/org/apache/hadoop/hive/ql/parse","Namit Jain",11
"ql/src/java/org/apache/hadoop/hive/ql/plan","Namit Jain",2
"ql/src/java/org/apache/hadoop/hive/ql/ppd","Namit Jain",NA
"ql/src/java/org/apache/hadoop/hive/ql/processors","Namit Jain",1
"ql/src/java/org/apache/hadoop/hive/ql/security/authorization","Namit Jain",NA
"ql/src/java/org/apache/hadoop/hive/ql/session","Namit Jain",4
"ql/src/java/org/apache/hadoop/hive/ql/stats/jdbc","Namit Jain",1
"ql/src/java/org/apache/hadoop/hive/ql/udf","Namit Jain",1
"ql/src/java/org/apache/hadoop/hive/ql/udf/generic","Namit Jain",NA
"ql/src/test/org/apache/hadoop/hive/ql","Namit Jain",2
"ql/src/test/org/apache/hadoop/hive/ql/exec","Namit Jain",NA
"ql/src/test/org/apache/hadoop/hive/ql/history","Namit Jain",1
"ql/src/test/org/apache/hadoop/hive/ql/hooks","Namit Jain",1
"ql/src/test/org/apache/hadoop/hive/ql/io","Namit Jain",NA
"ql/src/test/org/apache/hadoop/hive/ql/metadata","Namit Jain",1
"ql/src/test/org/apache/hadoop/hive/ql/plan","Namit Jain",NA
"ql/src/test/queries/clientnegative","Namit Jain",NA
"ql/src/test/queries/clientpositive","Namit Jain",3
"ql/src/test/queries/negative","Namit Jain",1
"ql/src/test/results/clientnegative","Namit Jain",3
"ql/src/test/results/clientpositive","Namit Jain",8
"ql/src/test/results/compiler/errors","Namit Jain",1
"ql/src/test/results/compiler/plan","Namit Jain",NA
"ql/src/test/scripts","Namit Jain",NA
"ql/src/test/templates","Namit Jain",NA
"serde/if","Namit Jain",NA
"serde/if/test","Namit Jain",NA
"serde/src/gen-java/org/apache/hadoop/hive/serde/test","Namit Jain",NA
"serde/src/gen-py","Namit Jain",NA
"serde/src/gen/thrift/gen-py","Namit Jain",NA
"serde/src/java/org/apache/hadoop/hive/serde2","Namit Jain",NA
"serde/src/java/org/apache/hadoop/hive/serde2/columnar","Namit Jain",NA
"serde/src/java/org/apache/hadoop/hive/serde2/dynamic_type","Namit Jain",NA
"serde/src/java/org/apache/hadoop/hive/serde2/io","Namit Jain",NA
"serde/src/java/org/apache/hadoop/hive/serde2/lazy","Namit Jain",NA
"serde/src/java/org/apache/hadoop/hive/serde2/lazybinary","Namit Jain",NA
"serde/src/java/org/apache/hadoop/hive/serde2/lazydio","Namit Jain",NA
"serde/src/java/org/apache/hadoop/hive/serde2/objectinspector/primitive","Namit Jain",NA
"serde/src/test/org/apache/hadoop/hive/serde2/objectinspector","Namit Jain",NA
"service/lib/php/ext/thrift_protocol","Namit Jain",NA
"service/lib/php/ext/thrift_protocol/tags/1.0.0","Namit Jain",NA
"service/lib/py/fb303","Namit Jain",NA
"service/lib/py/thrift/protocol","Namit Jain",NA
"service/lib/py/thrift/reflection","Namit Jain",NA
"service/lib/py/thrift/reflection/limited","Namit Jain",NA
"service/src/gen-py","Namit Jain",NA
"service/src/gen/thrift/gen-py","Namit Jain",NA
"service/src/java/org/apache/hadoop/hive/service","Namit Jain",NA
"service/src/test/php","Namit Jain",NA
"shims","Namit Jain",NA
"shims/src/0.20/java/org/apache/hadoop/fs","Namit Jain",NA
"shims/src/0.20/java/org/apache/hadoop/hive/shims","Namit Jain",NA
"shims/src/0.20S/java/org/apache/hadoop/hive/shims","Namit Jain",NA
"shims/src/0.20S/java/org/apache/hadoop/hive/thrift","Namit Jain",NA
"shims/src/0.23/java/org/apache/hadoop/hive/shims","Namit Jain",NA
"shims/src/0.23/java/org/apache/hadoop/hive/thrift","Namit Jain",NA
"shims/src/common-secure/java/org/apache/hadoop/hive/shims","Namit Jain",NA
"shims/src/common-secure/java/org/apache/hadoop/hive/thrift","Namit Jain",NA
"shims/src/common/java/org/apache/hadoop/hive/io","Namit Jain",NA
"shims/src/common/java/org/apache/hadoop/hive/shims","Namit Jain",NA
"shims/src/common/java/org/apache/hadoop/hive/thrift","Namit Jain",NA
"shims/src/test/org/apache/hadoop/hive/thrift","Namit Jain",NA
"testlibs","Namit Jain",1
"testutils","Namit Jain",NA
"testutils/ptest","Namit Jain",NA
"","Kevin Wilfong",3
"bin","Kevin Wilfong",NA
"bin/ext","Kevin Wilfong",NA
"cli","Kevin Wilfong",NA
"cli/src/java/org/apache/hadoop/hive/cli","Kevin Wilfong",NA
"common","Kevin Wilfong",NA
"common/src/java/conf","Kevin Wilfong",NA
"common/src/java/org/apache/hadoop/hive/common","Kevin Wilfong",NA
"common/src/java/org/apache/hadoop/hive/common/cli","Kevin Wilfong",NA
"common/src/java/org/apache/hadoop/hive/common/io","Kevin Wilfong",NA
"common/src/java/org/apache/hadoop/hive/common/metrics","Kevin Wilfong",NA
"common/src/java/org/apache/hadoop/hive/conf","Kevin Wilfong",2
"common/src/test/org/apache/hadoop/hive/conf","Kevin Wilfong",NA
"common/src/test/resources","Kevin Wilfong",NA
"contrib/src/test/results/clientnegative","Kevin Wilfong",NA
"contrib/src/test/results/clientpositive","Kevin Wilfong",NA
"data/conf","Kevin Wilfong",NA
"data/scripts","Kevin Wilfong",NA
"data/warehouse/src","Kevin Wilfong",NA
"docs","Kevin Wilfong",NA
"eclipse-templates","Kevin Wilfong",NA
"eclipse-templates/.externalToolBuilders","Kevin Wilfong",NA
"eclipse-templates/.settings","Kevin Wilfong",NA
"hbase-handler","Kevin Wilfong",NA
"hbase-handler/src/java/org/apache/hadoop/hive/hbase","Kevin Wilfong",NA
"hbase-handler/src/test/org/apache/hadoop/hive/hbase","Kevin Wilfong",NA
"hbase-handler/src/test/queries","Kevin Wilfong",NA
"hbase-handler/src/test/results","Kevin Wilfong",NA
"hbase-handler/src/test/templates","Kevin Wilfong",NA
"hwi/src/java/org/apache/hadoop/hive/hwi","Kevin Wilfong",NA
"hwi/web","Kevin Wilfong",NA
"hwi/web/img","Kevin Wilfong",NA
"ivy","Kevin Wilfong",NA
"jdbc/src/java/org/apache/hadoop/hive/jdbc","Kevin Wilfong",NA
"jdbc/src/test/org/apache/hadoop/hive/jdbc","Kevin Wilfong",NA
"lib","Kevin Wilfong",NA
"metastore/if","Kevin Wilfong",NA
"metastore/scripts","Kevin Wilfong",NA
"metastore/scripts/upgrade","Kevin Wilfong",NA
"metastore/scripts/upgrade/derby","Kevin Wilfong",NA
