"File","Author","NumCommits"
"hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/io/compress","Arun Murthy",NA
"hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/io/nativeio","Arun Murthy",NA
"hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/io/serializer","Arun Murthy",NA
"hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/ipc","Arun Murthy",NA
"hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/metrics/ganglia","Arun Murthy",NA
"hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/metrics2/sink/ganglia","Arun Murthy",NA
"hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/net","Arun Murthy",NA
"hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/security","Arun Murthy",NA
"hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/security/token","Arun Murthy",NA
"hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/security/token/delegation","Arun Murthy",NA
"hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/util","Arun Murthy",NA
"hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/util/bloom","Arun Murthy",NA
"hadoop-common-project/hadoop-common/src/main/native","Arun Murthy",NA
"hadoop-common-project/hadoop-common/src/main/native/src/org/apache/hadoop/io/nativeio","Arun Murthy",NA
"hadoop-common-project/hadoop-common/src/main/native/src/org/apache/hadoop/util","Arun Murthy",NA
"hadoop-common-project/hadoop-common/src/main/packages","Arun Murthy",NA
"hadoop-common-project/hadoop-common/src/main/packages/deb/hadoop.control","Arun Murthy",NA
"hadoop-common-project/hadoop-common/src/main/packages/deb/init.d","Arun Murthy",NA
"hadoop-common-project/hadoop-common/src/main/packages/rpm/init.d","Arun Murthy",NA
"hadoop-common-project/hadoop-common/src/main/packages/rpm/spec","Arun Murthy",NA
"hadoop-common-project/hadoop-common/src/main/packages/templates/conf","Arun Murthy",NA
"hadoop-common-project/hadoop-common/src/main/resources","Arun Murthy",NA
"hadoop-common-project/hadoop-common/src/test/java/org/apache/hadoop/cli","Arun Murthy",NA
"hadoop-common-project/hadoop-common/src/test/java/org/apache/hadoop/fs","Arun Murthy",1
"hadoop-common-project/hadoop-common/src/test/java/org/apache/hadoop/fs/shell","Arun Murthy",NA
"hadoop-common-project/hadoop-common/src/test/java/org/apache/hadoop/fs/viewfs","Arun Murthy",NA
