i,j,technique,accuracy,precision,recall,f1,auc
activemq-5.0.0,activemq-5.1.0,RF,0.6091370558375635,0.10913705583756345,0.5584415584415584,0.18259023354564757,0.6095117712683793
activemq-5.1.0,activemq-5.2.0,RF,0.8970588235294118,0.5378151260504201,0.2922374429223744,0.37869822485207094,0.8575146878502705
camel-1.4.0,camel-2.9.0,RF,0.888061797752809,0.10449735449735449,0.3969849246231156,0.16544502617801046,0.7503523251280242
camel-2.9.0,camel-2.10.0,RF,0.9631033611321709,0.3402061855670103,0.28695652173913044,0.3113207547169811,0.8714796980739199
groovy-1_5_7,groovy-1_6_BETA_1,RF,0.9135200974421437,0.4827586206896552,0.2,0.2828282828282829,0.7484401750047556
hbase-0.94.0,hbase-0.95.0,RF,0.7777112043139605,0.5222222222222223,0.3681462140992167,0.4318529862174579,0.6501823209579767
hive-0.10.0,hive-0.12.0,RF,0.765214124718257,0.19345238095238096,0.6103286384976526,0.2937853107344633,0.8078136711928027
jruby-1.1,jruby-1.4.0,RF,0.8619631901840491,0.7710843373493976,0.35555555555555557,0.4866920152091255,0.8048802561960458
jruby-1.4.0,jruby-1.5.0,RF,0.8373121131741822,0.25943396226415094,0.6707317073170732,0.3741496598639456,0.8645864818991373
lucene-2.3.0,lucene-2.9.0,RF,0.7010233918128655,0.37218045112781956,0.7252747252747253,0.4919254658385093,0.7600799504909094
lucene-2.9.0,lucene-3.0.0,RF,0.8032909498878086,0.36082474226804123,0.9032258064516129,0.5156537753222836,0.9030211233011299
